source,target
altered,altéré
alternate,Autre
alternative,alternatifs
although,bienque
altogether,toutàfait
always,toujours
am,am
amateurish,amateurisme
amazed,étonné
amazing,étonnant
amazingly,étonnamment
amazon,amazon
ambience,ambiance
ambient,ambiante
ambition,ambition
america,america
american,american
americans,Américains
among,parmi
amount,montant
amounts,montants
amused,amusé
amusing,amusant
amy,amy
an,une
analysis,analyse
analyst,analyste
anamorphic,anamorphique
anatomy,anatomie
anchor,ancre
ancient,antique
and,et
and/or,et/ou
anderson,anderson
andy,andy
angel,ange
angeles,angeles
angelina,Angelina
anger,lacolère
angry,encolère
angst,Angst
animal,desanimaux
animals,animaux
animated,animée
animation,animation
anime,Anime
ann,ann
anna,anna
anniversary,anniversaire
annoyed,ennuyé
annoying,ennuyeux
another,unautre
answer,réponse
answering,répondre
answers,réponses
anthem,hymne
anthems,hymnes
anthony,anthony
anticipation,anticipation
any,n'importelequel
anybody,personne
anymore,plus
anyone,n'importequi
anything,n'importequoi
anytime,n'importequand
anyway,detoutemanière
anyways,anyways
anywhere,n'importeoù
ap,AP
apart,àpart
apartment,Appartement
appalling,épouvantable
apparent,apparente
apparently,apparemment
appeal,appel
appealing,attrayant
appear,semblent
appearance,apparence
appearances,apparences
appeared,paru
appears,apparaît
appetite,l'appétit
application,application
applications,applications
applied,appliquée
apply,appliquer
appreciate,apprécions
appreciated,apprécié
appreciation,satisfaction
approach,approche
approached,approché
appropriate,appropriée
april,Avril
arc,arc
archaic,archaïque
architect,architecte
architecture,architecture
are,sont
area,zone
areas,domaines
arena,Arena
argento,argento
arguably,sansdoute
argue,soutiennent
argument,argument
arguments,arguments
arm,bras
arms,bras
armstrong,armstrong
army,armée
arose,surgi
around,autour
arranged,arrangé
arrangement,arrangement
arrangements,arrangements
array,array
arrival,arrivée
arrived,arrivé
arrives,arrive
arrogant,arrogant
art,art
articles,Articles
articulate,articuler
artist,Artiste
artistic,artistiques
artistry,art
artists,Artistes
artwork,artwork
as,comme
ashamed,honte
ashley,ashley
asia,asia
aside,decôté
ask,demander
asked,demandé
asking,demandant
asleep,endormi
aspect,aspect
aspects,aspects
aspiring,aspirant
ass,cul
assault,assaut
assertion,affirmation
assertions,affirmations
asserts,affirme
asset,ressource
assets,actifs
assigned,attribué
assist,aider
association,Association
assortment,assortiment
assume,assumer
assumed,supposé
assumes,n'assume
assuming,ensupposant
assumption,hypothèse
assumptions,hypothèses
astonishing,étonnant
astounding,étonnante
at,à
atlantic,Atlantique
atmosphere,atmosphère
atmospheric,atmosphérique
atrocious,atroce
attachment,piècejointe
attacking,attaquer
attacks,attaques
attempt,tentative
attempted,tentative
attempting,tenter
attempts,tentatives
attended,assisté
attention,attention
attitude,attitude
attractive,attractif
audience,public
audiences,publics
audio,Audio
august,Août
aural,phonétique
austen,Austen
austin,Austin
australia,Australie
authenticity,authenticité
author,Auteur
authority,autorité
authors,auteurs
autobiography,autobiographie
automatically,automatiquement
available,disponible
average,moyenne
avid,Avid
avoid,éviter
awake,éveillé
awards,Awards
aware,conscient
away,parti
awesome,génial
awful,horrible
awkward,maladroit
awsome,awsome
axe,hache
b,b
b-movie,B-Movie
b-side,b-side
b-sides,B-Sides
baby,bébé
bach,bach
back,retour
backed,backed
background,arrière-plan
backgrounds,Arrière-plans
backing,desbandes
backup,sauvegarde
backwards,enarrière
bad,mauvais
badly,mal
bag,sac
baked,boulangerie
baker,Baker
baking,cuisson
balance,équilibre
balanced,équilibré
balances,lessoldes
baldacci,Baldacci
ball,ballon
ballad,ballade
ballads,ballades
ballet,Ballet
banal,banale
band,bandede
bands,bandes
bang,bang
banjo,Banjo
bank,Banque
barbara,barbara
barber,coiffeur
barely,àpeine
bargain,négocier
barnes,barnes
barr,Barr
barry,barry
barrymore,Barrymore
bars,Bars
base,base
baseball,Baseball
based,base
basic,debase
basically,essentiellement
basics,Basics
basis,base
bass,Bass
bassist,bassiste
bathroom,salledebains
bathtub,baignoire
battle,bataille
battles,batailles
be,être
beach,plage
bear,supporter
bears,ours
beat,battre
beatles,beatles
beats,bat
beautiful,magnifique
beautifully,magnifiquement
beauty,beauté
became,estdevenu
because,car
become,devenir
becomes,devient
becoming,devenir
bed,lit
bedtime,l'heureducoucher
bee,abeille
beef,boeuf
been,été
beer,bière
before,avant
began,acommencé
begin,commencer
begining,début
beginner,Débutant
beginners,débutants
beginning,début
beginnings,débuts
begins,commence
behavior,comportement
behaviour,comportement
behind,derrière
behind-the-scenes,behind-the-scenes
being,étant
beings,êtres
belief,croyance
beliefs,croyances
believable,crédible
believe,croire
believes,croit
belong,appartenir
belongs,appartient
beloved,bien-aimée
below,endessous
ben,ben
beneath,sous
benefit,profit
benjamin,benjamin
bent,courbé
berlin,berlin
berry,Berry
besides,deplus
best,meilleur
bet,pari
betrayal,trahison
better,mieux
between,entre
beware,Méfiez-vous
beyonce,Beyonce
beyond,au-delà
bias,partialité
biased,biaisé
bible,bible
biblical,bibliques
big,grand
bigger,plusgrand
biggest,plusgrand
bill,facture
bills,factures
billy,billy
bin,bin
biography,biographie
bird,oiseau
birth,naissance
birthday,anniversaire
bit,bit
bite,mordre
bittersweet,douce-amère
bizarre,bizarre
black,noir
black-and-white,ennoiretblanc
blah,blah
blame,blâme
blames,blâme
bland,Bland
blast,fourneaux
blatant,flagrante
blazing,Blazing
bleed,bleed
blend,mélange
blends,mélanges
blessed,bienheureux
blessing,bénédiction
blew,souffla
blind,aveugle
bliss,Bliss
blistering,cloques
block,bloc
blood,sang
bloom,bloom
blow,souffler
blowing,soufflage
blown,soufflé
blows,coups
blue,bleu
bluegrass,bluegrass
blueprint,schémadirecteur
blues,blues
blurry,floue
board,tableau
boat,Bateau
bob,bob
bobby,bobby
bodily,corporelles
body,corps
bogus,bidon
bold,gras
bombing,attentat
bond,obligataire
bone,os
bones,os
bonus,bonus
book,livre
booklet,livret
books,livres
bookstore,librairie
boom,boom
boot,boot
bootleg,bootleg
borders,frontières
bore,alésage
bored,ennuyé
boredom,l'ennui
boring,ennuyeux
born,né
borrow,emprunter
boss,patron
both,lesdeux
bother,embêter
bothered,dérangés
bottom,bas
bought,acheté
bounce,rebondir
bound,rebond
boundaries,limites
bounty,Bounty
bow,arc
bowie,Bowie
box,case
boy,garçon
boyfriend,petitami
boys,garçons
brad,brad
brain,cerveau
brainless,sanscervelle
brains,cerveaux
bram,Bram
brand,marque
brass,Cuivres
bravo,bravo
brazil,Brésil
brazilian,brazilian
break,pause
breakdown,ventilation
breaking,briser
breaks,pauses
breakthrough,percée
breasts,seins
breath,souffle
breathe,respirer
breathtaking,àcouperlesouffle
breezy,jovial
brew,Brew
brian,brian
brick,brique
bridge,Bridge
brief,bref
bright,brillant
brilliance,brillance
brilliant,brillant
brilliantly,brillamment
bring,apporter
bringing,apportant
brings,apporte
brit,brit
britain,Grande-Bretagne
british,british
broad,large
broader,pluslarge
broadway,Broadway
brooks,Brooks
bros,bros
brother,frère
brothers,frères
brought,apporté
brown,marron
bruce,bruce
brutal,brutal
btw,BTW
bubbly,Bubbly
buck,Buck
bucks,Bucks
buddhist,bouddhiste
buddy,Buddy
budget,budget
buff,Buff
buffy,buffy
build,construire
building,bâtiment
builds,construit
bulk,volume
bullets,balles
bumbling,empoté
bummer,bummer
bump,bosse
bunch,bouquet
burn,brûler
burned,brûlé
burns,brûlures
bus,bus
bush,Bush
business,entreprise
businesses,entreprises
businessman,businessman
bust,buste
busy,occupé
but,mais
butchered,égorgés
butt,bout
button,bouton
buy,acheter
buyer,Acheteur
buying,d'achat
buzz,buzz
by,par
c,c
ca,ca
cab,cab
cabin,cabine
call,appeler
called,appelé
calling,appelant
calls,Appels
calm,calme
came,venu
camera,Appareilphoto
cameron,Cameron
camp,camp
campbell,Campbell
camps,camps
can,pouvoir
canada,Canada
canadian,canadian
canceled,annulée
cancelled,annulé
cancer,lecancer
candidate,candidat
candle,bougie
cannot,nepeuventpas
cant,cant
capable,capable
capacity,lacapacité
capitalism,capitalisme
captivated,captivé
captivating,captivante
capture,capture
captured,capturés
captures,Captures
car,voiture
card,carte
cardboard,carton
cardio,Cardio
care,soin
career,decarrière
careful,Attention
carefully,attentivement
cares,soucis
carey,Carey
caricature,caricature
caricatures,caricatures
caring,priseencharge
carl,carl
carol,Carol
carolyn,carolyn
carpenter,Carpenter
carrie,Carrie
carried,effectué
carries,porte
carry,porter
cars,voitures
carter,Carter
cartoon,Cartoon
cartoons,caricatures
case,cas
cases,cas
cash,detrésorerie
casino,Casino
cassette,cassette
cast,Cast
casting,casting
casual,occasionnels
cat,chat
catch,attraper
catching,attraper
catchy,catchy
catholic,catholique
cats,chats
caught,capturés
cause,cause
causes,causes
causing,causant
cd,cd
cds,cds
celebration,célébration
celebrity,Célébrité
celluloid,celluloïd
celtic,celtic
cent,cent
center,centre
centered,centré
centers,centres
central,centrale
cents,cents
centuries,siècles
century,siècle
certain,certain
certainly,certainement
chain,chaîne
chainsaw,tronçonneuse
chair,chaise
challenged,contesté
challenges,défis
challenging,difficile
championship,championnat
chance,chance
chances,chances
change,changer
changed,changé
changes,changements
changing,changer
channel,Channel
chant,Chant
chaos,chaos
chaotic,chaotique
chapter,Chapitre
chapters,chapitres
character,caractère
characterization,Caractérisation
characters,caractères
charge,facturer
charged,facturés
charles,charles
charlie,charlie
charlotte,charlotte
charm,charme
charming,charmant
charts,Charts
chase,Chase
cheap,bonmarché
cheaper,moinscher
cheated,triché
cheating,tricher
check,vérifier
checked,vérifiée
checking,vérifier
cheese,fromage
cheesy,cheesy
chef,chef
chefs,Chefs
chemistry,Chimie
cherry,cerise
chess,Echecs
chicago,chicago
chick,chick
chief,chef
child,enfant
childhood,l'enfance
childish,enfantin
children,enfants
childrens,Childrens
chill,chill
chilling,chilling
china,Chine
chinese,Chinois
chocolate,chocolat
choice,choix
choices,choix
choir,chœur
choose,choisir
choppy,clapot
chops,Côtelettes
chord,chord
chore,corvée
choreography,chorégraphie
chorus,Chorus
chose,choisi
chosen,choisi
chris,chris
christ,christ
christian,christian
christianity,christianisme
christians,Chrétiens
christmas,Noël
chronic,chronique
chronicle,Chronique
chuck,Chuck
church,église
churches,Eglises
cinema,cinéma
cinematic,cinématographique
cinematography,Images
circle,cercle
circumstances,circonstances
circus,cirque
cities,villes
citing,encitant
citizens,citoyens
city,ville
civilization,civilisation
claim,réclamation
claimed,revendiquée
claiming,prétendant
claims,revendications
clancy,Clancy
clarity,clarté
clark,Clark
clarkson,Clarkson
clash,affrontement
class,classe
classes,classes
classic,Classic
classical,classique
classics,Classics
classy,classy
clay,argile
clean,propre
cleaned,nettoyés
clear,clair
clearly,clairement
clever,intelligent
cliche,Cliche
cliched,cliché
cliches,clichés
clients,clients
climactic,climatiques
climax,climax
clinton,Clinton
clipped,rognées
clips,clips
clooney,clooney
close,fermer
closely,deprès
closer,plusprès
closest,plusproche
closet,placard
clothes,vêtements
clown,Clown
clowns,clowns
club,club
clubs,Clubs
clue,clue
clueless,clueless
clues,indices
clumsy,maladroit
clunky,maladroit
clutter,fouillis
co,co
co-workers,collèguesdetravail
coach,coach
coal,charbon
coast,côte
code,Code
cohen,cohen
coherent,cohérente
cohesive,cohésive
cold,froid
collaboration,collaboration
collect,recueillir
collection,collection
collections,Collections
collectors,collectionneurs
college,Collège
colony,colonie
color,couleur
colorful,coloré
colors,couleurs
colour,couleur
coltrane,Coltrane
columbia,colombie
combination,Combinaison
combinations,combinaisons
combined,combinés
combines,combine
combo,Combo
come,venir
comedies,Comédies
comedy,comédie
comes,vient
comfort,Confort
comfortable,confortable
comforting,réconfortant
comic,BD
comical,comique
coming,àvenir
comment,uncommentaire
commentaries,commentaires
commentary,commentaire
commented,commenté
comments,commentaires
commercial,commerciale
commercials,publicités
committed,commis
common,courant
commonly,couramment
communicate,communiquer
communicates,communique
communication,Communication
communist,communiste
communities,communautés
community,communauté
companion,compagnon
company,entreprise
compare,Comparer
compared,comparativement
comparing,comparer
comparison,Comparaison
compassionate,compassion
compelling,convaincant
compete,rivaliser
compilation,compilation
compilations,compilations
complained,plaint
complaining,plaindre
complains,seplaint
complaint,plainte
complaints,plaintes
complement,complément
complete,complète
completed,terminé
completely,complètement
complex,complexes
complicated,compliqué
composer,Compositeur
composition,composition
compositions,Compositions
comprehend,comprendre
comprehensive,globale
computer,ordinateur
con,con
concept,concept
concepts,concepts
concern,inquiétude
concerned,concernés
concerning,concernantles
concerns,préoccupations
concert,Concert
concerto,Concerto
concerts,Concerts
concise,concise
conclude,conclure
concluding,finales
conclusion,conclusion
concrete,béton
condescending,condescendante
condition,condition
conference,Conférence
confess,avouer
conflict,conflits
confront,confronter
confuse,confondre
confused,confondre
confusing,déroutant
congress,Congrès
connecting,connexion
connection,connexion
connery,Connery
cons,cons
consequences,conséquences
conservative,conservateur
consider,envisager
considerable,considérable
considered,considérée
considering,envisage
consistent,conforme
consistently,constamment
consisting,consistant
consists,consiste
constant,constants
constantly,constamment
constitutional,constitutionnel
consumers,consommateurs
consumption,consommation
contact,Contact
contain,contiennent
contained,contenues
contains,contient
contemplative,contemplative
contemporaries,contemporains
contemporary,contemporaine
contempt,outrage
content,contenu
contents,Sommaire
contest,Concours
context,contexte
continue,continuer
continues,continue
contract,contrat
contradictory,contradictoires
contradicts,contredit
contrast,Contraste
contrived,artificiel
control,contrôle
controversial,controversée
convenience,commodité
convenient,commode
conveniently,commodément
conventional,conventionnelles
conversation,conversation
conversations,conversations
conversion,Laconversion
convert,convertir
conveyed,transmis
conveys,transmet
convicted,condamné
convinced,convaincu
convincing,convaincant
convincingly,convaincante
convoluted,alambiqué
cookbook,cookbook
cookbooks,livresdecuisine
cooking,cuisson
cool,cool
cooper,Cooper
cop,COP
cope,face
copied,copié
copies,copies
coping,adaptation
copy,copie
core,principal
cornwell,Cornwell
correct,correcte
correctly,correctement
corrupt,corrompus
corruption,corruption
cost,coût
costs,coûts
costume,costume
costumes,costumes
costuming,costumes
cottage,Cottage
couch,divan
could,pourrait
couldnt,couldnt
counseling,counseling
count,count
counting,comptage
countless,innombrables
countries,pays
country,pays
counts,chiffres
couple,encouple
courage,courage
courageous,courageux
course,cours
courses,Cours
courtesy,courtoisie
cousin,cousin
cousins,cousins
cover,couvrir
coverage,couverture
covered,couverts
covering,couvrant
covers,couvre
cow,lavache
cowboy,Cowboy
crack,crack
cracked,craquage
crafted,conçu
craig,craig
crank,manivelle
crap,merde
crappy,crappy
crazy,fou
cream,crème
create,créer
created,créé
creates,crée
creating,créer
creation,création
creative,Creative
creativity,lacréativité
creator,créateur
creators,créateurs
creature,créature
creatures,créatures
credibility,crédibilité
credit,crédit
credits,crédits
creek,Creek
creepy,creepy
crew,équipage
crichton,Crichton
cried,s'écria
crime,criminalité
crimes,crimes
cringe,ramper
crisis,crise
crisp,Crisp
criterion,critère
critical,critique
criticism,critique
critics,critiques
critique,critique
crosby,Crosby
cross,Cross
crossing,depassage
crossover,crossover
crow,corneille
crowd,foule
crunk,crunk
crushed,écrasé
cry,pleurer
crying,pleurer
cube,cube
culinary,culinaire
cult,culte
cults,cultes
cultural,culturelle
culture,Culture
cultures,cultures
cup,tasse
cure,guérir
curious,curieux
current,actuel
currently,actuellement
curtis,Curtis
curve,courbe
customer,client
cut,couper
cute,mignon
cuts,coupures
cutting,decoupe
cynical,cynique
d,d
d.c,dc
dad,papa
daily,quotidienne
damaging,dommageables
dame,Dame
damn,àdeuxballes
dan,dan
dance,danse
danceable,dansants
dances,danses
dancing,danse
dangerous,dangereux
daniel,daniel
daniels,daniels
danny,danny
dare,oser
daring,oser
dark,sombre
darker,plussombre
darkest,lesplussombres
darling,chéri
darn,darn
data,données
date,date
dated,endatedu
daughter,fille
daughters,filles
dave,dave
david,david
davis,davis
day,jour
days,jour
de,de
dead,mort
deal,affaire
dealers,concessionnaires
dealing,traitant
deals,Offresspéciales
dean,Dean
dear,cher
death,mort
deaths,Décès
deaver,Deaver
deborah,deborah
debut,débuts
decade,décennie
decades,décennies
deceived,trompé
december,Décembre
decent,décent
decide,décider
decided,adécidé
decidedly,décidément
decides,décide
deciding,décider
decision,décision
dedication,dévouement
deeds,actes
deep,profond
deepest,plusprofond
deeply,profondément
defend,défendre
defense,défense
definately,définitivement
define,définir
definetly,définitivement
definite,définitive
definitely,définitivement
definitive,définitif
degree,degré
deleted,supprimé
deliberately,délibérément
delicious,Delicious
delight,ravissement
delighted,heureux
delightful,délicieuse
deliver,livrer
delivered,livrés
delivering,prestation
delivers,livre
delivery,livraison
delta,Delta
deluxe,Deluxe
demise,disparition
demo,Démo
democratic,démocratique
demons,démons
demonstrates,démontre
denial,déni
deniro,DeNiro
deny,nier
denzel,Denzel
depend,dépendent
dependent,àcharge
depicted,dépeint
depicting,dépeignant
depiction,représentation
depressed,déprimé
depressing,déprimant
depression,ladépression
depth,profondeur
depths,profondeurs
derek,derek
descent,descente
describe,décrire
described,décrit
describes,décrit
describing,décrivant
description,Description
descriptions,descriptions
descriptive,Descriptif
desert,désert
deserve,méritent
deserved,mérité
deserves,mérite
deserving,méritants
design,conception
designs,dessins
desire,désir
desired,désiré
desk,bureau
despair,désespoir
desperate,désespérée
despise,méprise
despite,malgré
destined,destinés
destiny,destin
destruction,destruction
detail,détail
detailed,détaillée
details,Détails
detective,Detective
determination,détermination
develop,développer
developed,développés
developing,endéveloppement
development,développement
develops,développe
devices,dispositifs
devil,diable
devoid,dépourvu
devotes,consacre
devotion,dévotion
di,di
dialog,dedialogue
dialogue,dialogue
dialogues,dialogues
diana,Diana
diane,diane
diaries,Diaries
diatribe,diatribe
did,fit
diddy,Diddy
die,mourir
die-hard,die-hard
died,estmort
dies,meurt
diet,alimentation
difference,différence
differences,différences
different,différents
differently,différemment
difficult,difficile
difficulties,difficultés
dig,dig
digital,numérique
dignity,ladignité
dimension,dimension
dimensional,dimensionnelle
dinosaur,dinosaure
diplomatic,diplomatique
dire,dire
direct,directs
direct-to-video,direct-to-video
directed,réalisé
directing,diriger
direction,direction
directly,directement
director,Directeur
directors,administrateurs
dirt,lasaleté
dirty,sale
disapointed,déçu
disapointment,disapointment
disappears,disparaît
disappoint,décevoir
disappointed,déçu
disappointing,décevant
disappointment,déception
disaster,encasdecatastrophe
disastrous,désastreux
disc,disque
discern,discerner
disco,disco
discography,discographie
discourse,discours
discover,découvrir
discovered,découvert
discovery,découverte
discredited,discrédité
discs,disques
discuss,discuter
discussed,discuté
discusses,discute
discussing,discuter
discussion,Discussion
disease,maladie
disgrace,disgrâce
disgusted,dégoûté
disgusting,dégoûtant
dishonest,malhonnête
disingenuous,malhonnête
disjointed,disjointes
disk,disque
disks,disques
dislike,aversion
disliked,détestait
disney,disney
disorganized,désorganisé
display,afficher
displayed,affichés
displays,affiche
displeasure,déplaisir
disregard,mépris
dissapointed,dissapointed
dissapointing,dissapointing
dissapointment,dissapointment
dissappointed,dissappointed
distinct,distincte
distorted,déformée
distortion,distorsion
distract,distraire
distracted,distrait
distracting,distrayant
disturbing,inquiétante
diverse,divers
diversity,ladiversité
divide,fracture
divided,divisé
divorced,Divorcé
dj,DJ
do,faire
doc,doc
doctor,médecin
doctors,médecins
doctrines,doctrines
documentary,documentaire
documents,documents
does,fait
dog,chien
dogg,dogg
dogs,chiens
doing,faisant
dollar,dollar
dollars,dedollars
dolly,Dolly
don,Don
done,fait
donna,Donna
dont,EXCLURE
doo,doo
door,porte
doors,portes
dope,Dope
doris,Doris
double,double
doubt,doute
doubts,doutes
down,verslebas
downhill,Descente
download,télécharger
downright,carrément
downs,Réductions
dr,dr
drab,terne
drag,glisser
dragged,traîné
drags,traîne
drama,drame
dramas,drames
dramatic,dramatique
dramatically,defaçonspectaculaire
draw,dessiner
drawing,dessin
drawn,établi
dre,dre
dreadful,affreux
dream,rêver
dreams,rêves
dreamy,rêveur
dress,robe
dressing,dressing
drew,aattiré
drinking,potable
drive,conduire
drivel,radotage
driven,conduit
drives,lecteurs
driving,conduite
drone,bourdon
droning,ronron
drop,goutte
dropped,abandonné
dropping,abandon
drug,drogue
drugs,médicaments
drum,tambour
drummer,batteur
drumming,drumming
drums,Batterie
dry,sécher
dual,double
dub,dub
dubbing,doublage
dud,Dud
dude,pote
due,dû
duet,duo
duets,duos
duke,Duke
dull,terne
dumb,sourd
dump,dump
dumped,dumping
duo,Duo
during,pendant
duvall,Duvall
dvd,dvd
dvds,dvds
dying,mourir
dylan,dylan
dynamic,dynamique
dynamics,Dynamique
e.g,parexemple
each,chaque
eager,avide
eagerly,avidement
ear,oreille
earl,Earl
earlier,antérieure
earliest,plustôt
early,tôt
earn,gagner
ears,oreilles
earth,terre
ease,l'aise
easier,facile
easily,facilement
easy,simple
eaten,mangé
eating,Restos
echo,echo
eclectic,éclectique
economic,économique
economists,économistes
ed,ed
eddie,eddie
edge,bord
edgy,edgy
edit,modifier
edited,edited
editing,édition
edition,édition
editor,Sousladirectionde
educate,éduquer
education,l'éducation
educational,éducatives
edward,edward
eerie,eerie
effect,effet
effective,efficaces
effectively,efficacement
effects,effets
effort,effort
effortlessly,sanseffort
efforts,efforts
eg,parexemple
egg,oeuf
ego,Moi
eight,huit
either,soit
el,el
election,élection
electric,électrique
electronic,électronique
electronica,electro
elegant,élégant
element,élément
elementary,élémentaires
elements,éléments
eleven,onze
eliminate,éliminer
elizabeth,Elizabeth
ella,ella
ellington,Ellington
ellis,Ellis
eloquent,éloquent
eloquently,éloquence
else,autre
elsewhere,ailleurs
elton,elton
embarassed,embarrassé
embarrassed,embarrassé
embarrassing,embarrassant
embarrassment,embarras
embrace,embrasser
emma,emma
emo,emo
emotion,émotion
emotional,émotionnelle
emotionally,émotionnellement
emotions,émotions
empathy,empathie
emphasis,accent
emphasize,souligner
emphasizes,souligne
empire,empire
employed,occupée
employees,employés
empty,vide
en,fr
encounters,rencontres
encyclopedia,encyclopédie
end,fin
endeavor,tâcher
ended,terminé
ending,seterminant
endings,terminaisons
endless,sansfin
ends,setermine
endure,supporter
enemies,ennemis
enemy,ennemi
energetic,énergique
energy,d'énergie
engaging,s'engager
engineering,génie
engineers,ingénieurs
england,Angleterre
english,anglais
engrossing,passionnant
enhances,améliore
enjoy,apprécier
enjoyable,agréable
enjoyed,jouissait
enjoying,jouissant
enjoyment,jouissance
enjoys,jouit
eno,eno
enormous,énorme
enough,assez
ensemble,ensemble
enter,Entrez
entering,entrant
enterprise,entreprise
entertain,divertir
entertainer,amuseur
entertaining,divertissant
entertainment,Divertissement
entire,ensemble
entirely,entièrement
entirety,intégralité
environment,environnement
ep,ep
epic,épique
epics,épopées
epilogue,Epilogue
episode,épisode
episodes,épisodes
equal,l'égalité
equally,aussi
er,ER
era,ère
eric,eric
erotic,érotique
erroneous,erronées
error,Erreur
errors,erreurs
escape,évasion
escaped,échappé
especially,particulier
espionage,espionnage
essay,essai
essence,essence
essential,essentielles
essentially,l'essentiel
etc,etc
eternal,éternelle
ethan,ethan
europe,Europe
european,européenne
evaluation,d'évaluation
even,même
evening,soir
event,événement
events,Evénements
eventual,éventuelle
eventually,finalement
ever,jamais
every,chaque
everybody,toutlemonde
everyday,quotidienne
everyone,toutlemonde
everything,tout
everywhere,partout
evidence,preuves
evidently,évidemment
evil,mauvais
evocative,évocateur
evolution,évolution
evolved,évolué
exact,exact
exactly,exactement
examination,examen
examine,examiner
examines,examine
examining,l'examen
example,Parexemple
examples,exemples
excellence,l'excellence
excellent,excellent
except,sauf
exception,exception
exceptional,exceptionnelles
excessive,excessive
exchange,échange
excited,excités
excitement,excitation
exciting,passionnant
exclusively,exclusivement
excuse,excuse
excuses,excuses
executed,exécutés
execution,exécution
executive,exécutif
exercise,exercice
exercises,exercices
exhausted,épuisé
exist,existent
existed,existait
existence,existence
existential,existentielle
existing,existants
exists,existe
exit,sortie
exotic,exotiques
expand,agrandir
expanded,élargi
expect,attendre
expectations,attentes
expected,attendus
expecting,s'attendant
expensive,cher
experience,l'expérience
experienced,expérimentés
experiences,expériences
experimental,expérimentales
experiments,expériences
experts,experts
explain,expliquer
explained,aexpliqué
explaining,expliquant
explains,explique
explanation,explication
explanations,explications
exploitation,l'exploitation
explore,Explorez
explores,explore
exploring,explorer
exposed,exposés
exposure,l'exposition
express,Express
expression,expression
expressive,expressive
exquisite,exquis
extended,étendu
extent,mesure
extra,extra
extraneous,étrangères
extraordinary,extraordinaire
extras,Extras
extreme,extrêmes
extremely,extrêmement
extremist,extrémiste
eye,oeil
eyes,yeux
fabulous,fabuleux
face,visage
faced,face
faces,visages
facing,face
fact,fait
factors,facteurs
facts,faits
factual,factuelles
fading,fading
fail,échouer
failed,échoué
fails,échoue
failure,échec
fair,loyal
