source,target
almost,fast
alone,allein
along,entlang
alongside,neben
alot,sehr
already,bereits
alright,alright
also,auch
altered,verändert
alternate,Stellvertreter
alternative,Alternative
although,obwohl
altogether,insgesamt
always,immer
am,am
amateurish,dilettantisch
amazed,Staunen
amazing,erstaunlich
amazingly,erstaunlich
amazon,amazon
ambience,Ambiente
ambient,ambient
ambition,Ehrgeiz
america,america
american,american
americans,Amerikaner
among,unter
amount,Betrag
amusing,amüsant
amy,amy
an,ein
anamorphic,anamorph
anchor,Anker
ancient,alten
and,und
and/or,und/oder
anderson,anderson
andy,andy
angel,Engel
angeles,angeles
angelina,angelina
anger,Zorn
angry,wütend
angst,angst
animated,animiert
animation,Animation
anime,anime
ann,ann
anna,anna
anniversary,Jubiläum
annoyed,verärgert
annoying,ärgerlich
another,einanderer
answer,Antwort
answers,Antworten
anthem,Hymne
anthems,Hymnen
anthony,anthony
anticipation,Vorfreude
any,beliebig
anybody,anybody
anymore,mehr
anyone,irgendjemand
anything,irgendetwas
anytime,jederzeit
anyway,immerhin
anyways,anyways
anywhere,überall
apart,abgesehen
apartment,Wohnung
apparent,scheinbaren
apparently,scheinbar
appeal,Rechtsmittel
appealing,ansprechenden
appear,erscheinen
appearance,Aussehen
appearances,Auftritte
appeared,erschienen
appears,erscheint
application,Anwendung
applications,Anwendungen
applied,Anwendung
appreciate,schätzen
appreciated,geschätzt
appreciation,Wertschätzung
approach,Herangehensweise
approached,näherte
appropriate,entsprechende
april,April
arc,arc
architect,Architekt
architecture,Architektur
are,sind
area,Bereich
areas,Bereiche
arena,Arena
argento,argento
arguably,wohl
argue,"argumentieren,"
argument,Argument
arguments,Argumente
arm,Arm
arms,Arme
armstrong,armstrong
army,Armee
arose,entstanden
around,ringsherum
arranged,angeordnet
arrangement,Anordnung
arrangements,Vereinbarungen
arrival,Ankunft
arrived,angekommen
arrives,kommt
arrogant,arrogant
art,Kunst
articles,Artikel
articulate,artikulieren
artist,Künstler
artistic,Kunst
artistry,Artistik
artists,Künstler
artwork,Artwork
as,wie
ashamed,schämen
ashley,ashley
asia,asia
aside,Flächenstilllegung
ask,fragen
asked,bat
asking,fragen
asleep,Einschlafen
aspect,Aspekt
aspects,Aspekte
aspiring,aufstrebende
ass,Esel
assault,Angriff
assets,Vermögenswerte
assist,unterstützen
assortment,Sortiment
assume,übernehmen
assumed,angenommen
assumes,übernimmt
assuming,"vorausgesetzt,"
assumption,Annahme
assumptions,Annahmen
astonishing,erstaunlich
astounding,erstaunliche
at,bei
atlantic,atlantic
atmosphere,Atmosphäre
atmospheric,atmosphärischen
atrocious,grauenhaften
attacks,Angriffe
attempt,Versuch
attempted,versucht
attempting,Versuch
attempts,Versuche
attended,besucht
attention,Aufmerksamkeit
attitude,Haltung
attractive,attraktiv
audience,Publikum
audiences,Publikum
audio,Audio
august,August
aural,klanglichen
austen,Austen
austin,austin
australia,Australien
authenticity,Authentizität
author,Autor
authority,Behörde
autobiography,Autobiographie
available,verfügbar
average,Durchschnitt
avid,Avid
avoid,vermeiden
awake,wach
awards,Auszeichnungen
away,weg
awesome,ehrfürchtig
awful,furchtbar
awkward,ungeschickt
awsome,awsome
b,b
b-movie,b-movie
b-side,B-Seite
b-sides,B-Sides
baby,Baby
bach,bach
back,zurück
background,Hintergrund
backgrounds,Hintergrund
backing,Playbacks
backup,Backup
backwards,rückwärts
bad,schlecht
badly,schlecht
bag,bag
baker,Bäcker
balance,Gleichgewicht
balanced,ausgewogenen
balances,Salden
baldacci,Baldacci
ball,Ball
ballad,Ballade
ballads,Balladen
ballet,Ballett
banal,banal
band,Band
bands,Bands
bang,bang
banjo,banjo
bank,Bank
barbara,barbara
barber,Barbier
barely,kaum
bargain,Schnäppchen
barr,Barr
barry,barry
barrymore,Barrymore
base,Basis
baseball,Baseball
based,Basis
basic,grundlegende
basically,imGrunde
basics,Grundlagen
basis,Grundlage
bass,Bass
bassist,Bassist
bathroom,Bad
bathtub,Badewanne
battle,Kampf
be,sein
beach,Strand
bear,Bär
beat,schlagen
beatles,beatles
beats,Beats
beautiful,schön
beautifully,schön
beauty,Schönheit
became,wurde
because,weil
become,werden
becomes,wird
becoming,immer
bed,Bett
bee,Biene
beef,Rindfleisch
been,gewesen
beer,Bier
before,vor
began,begann
begin,beginnen
begining,Anfang
beginner,Anfänger
beginners,Anfänger
beginning,Anfang
beginnings,Anfänge
begins,beginnt
behavior,Verhalten
behind,hinter
behind-the-scenes,hinterdenKulissen
being,Wesen
beings,Wesen
belief,Glaube
beliefs,Überzeugungen
believable,glaubwürdig
believe,glauben
belong,gehören
belongs,gehört
beloved,Geliebte
below,unten
ben,ben
beneath,unter
benefit,Nutzen
benjamin,benjamin
bent,gebogen
berlin,berlin
berry,Beere
besides,ansonsten
best,bester
bet,bet
betrayal,Verrat
better,besser
between,zwischen
beware,Vorsicht
beyonce,beyonce
beyond,jenseits
bias,Bias
biased,voreingenommen
biblical,biblischen
big,groß
bigger,größer
biggest,größten
bill,Rechnung
billy,billy
bin,bin
biography,Biographie
bird,Vogel
birth,Geburt
birthday,Geburtstag
bit,bisschen
bite,Biss
bittersweet,bittersüß
bizarre,bizarre
black,schwarz
black-and-white,Schwarz-Weiß-
blah,blah
blame,Schuld
blames,tadelt
bland,bland
blast,Explosion
blatant,eklatanten
blazing,lodernden
bleed,bluten
blend,Mischung
blends,Mischungen
blessed,gesegnet
blew,blies
blind,blind
bliss,Glückseligkeit
blistering,Blasenbildung
block,Block
blood,Blut
bloom,Blüte
blow,Schlag
blowing,Blasen
blown,geblasen
blows,Schläge
blue,blau
bluegrass,Bluegrass
blues,Blues
blurry,verschwommen
board,Brett
boat,Boot
bob,bob
bobby,bobby
bodily,körperliche
body,Körper
bogus,Scheinselbständigkeit
bold,fett
bombing,Bombardierung
bond,Anleihe
bone,Knochen
bones,Knochen
bonus,Bonus
book,Buch
booklet,Broschüre
books,Bücher
bookstore,Buchhandlung
boom,Boom
boot,Boot
bootleg,Bootleg
borders,Grenzen
bore,Bohrung
bored,gelangweilt
boredom,Langeweile
boring,langweilig
born,geboren
borrow,leihen
both,beides
bother,behelligen
bothered,belästigt
bottom,Boden
bought,gekauft
bounce,Sprungkraft
bound,gebunden
boundaries,Grenzen
bounty,bounty
bow,Bogen
bowie,bowie
box,Feld
boy,Junge
boyfriend,Freund
boys,Jungen
brad,brad
brain,Gehirn
brainless,brainless
brains,Gehirn
bram,bram
brand,Marke
brass,Messing
bravo,bravo
brazilian,brazilian
break,Pause
breakdown,Aufschlüsselung
breaking,Brechen
breaks,Pausen
breakthrough,Durchbruch
breasts,Brüste
breath,Atem
breathe,atmen
breathtaking,atemberaubende
breezy,luftig
brew,Gebräu
brian,brian
bridge,Brücke
brief,kurze
bright,hell
brilliance,Brillanz
brilliant,brilliant
brilliantly,glänzend
bring,bringen
bringing,bringen
brings,bringt
brit,brit
britain,britain
british,british
broader,breiteren
broadway,broadway
brooks,Bäche
bros,bros
brother,Bruder
brothers,Brüder
brought,gebracht
brown,braun
bruce,bruce
brutal,brutal
btw,btw
bubbly,Schampus
buck,Buck
bucks,Böcke
budget,Haushalt
buff,buff
buffy,buffy
build,bauen
building,Gebäude
builds,baut
bulk,Masse
bullets,Kugeln
bumbling,bumbling
bummer,bummer
bump,Beule
bunch,Bund
burn,brennen
burned,verbrannt
bus,Bus
bush,Busch
business,Geschäft
businesses,Unternehmen
bust,Büste
but,aber
butchered,abgeschlachtet
butt,Tonne
button,Schaltfläche
buy,kaufen
buyer,Käufer
buying,kaufen
buzz,Heißdiskutiert
by,von
c,c
ca,ca
cab,cab
cabin,Kabine
call,rufen
called,genannt
calling,Aufruf
calls,fordert
calm,Ruhe
came,kam
camera,Kamera
cameron,cameron
camp,Lager
campbell,Campbell
camps,Lagern
can,können
canada,Kanada
canadian,canadian
canceled,abgebrochen
cancelled,storniert
cancer,Krebs
candidate,Kandidat
candle,Kerze
cannot,kannnicht
cant,cant
capable,Lage
capacity,Kapazität
captivated,Bann
captivating,fesselnd
capture,Capture
captured,gefangen
captures,erfasst
car,Auto
card,Karte
cardboard,Pappe
cardio,Cardio
care,sorgen
career,Karriere
careful,vorsichtig
carefully,sorgfältig
cares,Sorgen
carey,carey
caricature,Karikatur
caricatures,Karikaturen
caring,Pflege
carl,carl
carpenter,Zimmermann
carrie,Carrie
carried,durchgeführt
carries,trägt
carry,tragen
carter,Fuhrmann
cartoon,Karikatur
case,Fall
cash,Cash
casino,Casino
cassette,Kassette
cast,Stimmen
casting,Gießen
casual,casual
cat,Katze
catch,fangen
catchy,catchy
catholic,katholisch
cats,Katzen
caught,gefangen
cause,Ursache
causes,Ursachen
cd,cd
cds,cds
celebration,Feier
celebrity,celebrity
celluloid,Zelluloid
celtic,celtic
cent,o
center,Zentrum
centered,zentriert
central,Central/Neumühlequai
cents,Cent
centuries,Jahrhunderte
century,Jahrhundert
certain,bestimmt
certainly,sicher
chain,Kette
chainsaw,Kettensäge
chair,Stuhl
challenged,angefochten
challenges,Herausforderungen
challenging,Herausforderung
championship,Meisterschaft
chance,Chance
chances,Chancen
change,ändern
changed,verändert
changes,Änderungen
changing,ändern
channel,Kanal
chant,chant
chaos,Chaos
chaotic,chaotisch
chapter,Kapitel
chapters,Kapitel
character,Charakter
characterization,Charakterisierung
characters,Zeichen
charge,Gebühr
charged,zahlen
charles,charles
charlie,charlie
charlotte,charlotte
charm,Charme
charming,charmante
charts,Charts
chase,Jagd
cheap,billig
cheaper,billiger
cheated,betrogen
cheating,Betrug
check,prüfen
checked,geprüft
checking,Kontrolle
cheese,Käse
cheesy,cheesy
chefs,Köche
chemistry,Chemie
cherry,Kirsche
chicago,Chikago
chick,chick
chief,Chef
child,Kind
childhood,Kindheit
childish,kindisch
children,Kinder
chill,chill
chilling,Kühlen
choice,Wahl
choices,Entscheidungen
choir,Chor
choose,wählen
choppy,abgehackt
chops,Koteletts
chord,Akkord
chore,lästigePflicht
choreography,Choreographie
chorus,Chor
chose,wählte
chosen,gewählt
chris,chris
christ,christ
christian,christian
christians,Christen
christmas,christmas
chronic,chronische
chronicle,Chronik
chuck,chuck
church,Kirche
cinema,Kino
cinematic,Kino
cinematography,Kinematographie
circle,Kreis
circumstances,Umstände
circus,Zirkus
cities,Städte
citizens,Bürger
city,Stadt
civilization,Kultur
claim,fordern
claimed,behauptet
claiming,behauptet
claims,Forderungen
clarity,Klarheit
clark,clark
clarkson,Clarkson
clash,Zusammenstoß
class,Klasse
classes,Klassen
classic,Klassiker
classical,klassischen
classics,Klassiker
classy,classy
clay,Ton
clean,sauber
cleaned,gereinigt
clear,klar
clearly,klar
clever,klug
cliche,Klischee
cliched,klischeehaft
cliches,Klischees
climactic,Höhepunkt
climax,Höhepunkt
clinton,clinton
clipped,abgeschnitten
clips,Clips
clooney,Clooney
close,schließen
closely,eng
closer,näher
closest,amnächsten
closet,Schrank
clothes,Kleider
clown,Clown
clowns,Clowns
club,Club
clubs,Clubs
clue,Hinweis
clueless,clueless
clues,Hinweise
clumsy,ungeschickt
clutter,Krempel
coach,Trainer
coal,Kohle
coast,Küste
code,Code
cohen,cohen
coherent,kohärenten
cohesive,Zusammenhalt
cold,kalt
collaboration,Zusammenarbeit
collect,sammeln
collection,Sammlung
collections,Sammlungen
collectors,Sammler
college,College
color,Farbe
colorful,bunt
colors,Farben
coltrane,Coltrane
columbia,columbia
combination,Kombination
combined,kombiniert
combines,verbindet
combo,Kombinationsfeld
come,kommen
comedies,Komödien
comedy,Komödie
comes,kommt
comfort,Komfort
comfortable,komfortable
comforting,tröstlich
comic,Comic
coming,kommenden
comment,Kommentar
commentaries,Kommentare
commentary,Kommentar
commented,kommentiert
comments,Kommentare
commercial,Geschäfte
commercials,Werbespots
committed,verpflichtet
common,allgemein
commonly,allgemein
communicate,Kommunikation
communication,Kommunikation
communist,kommunistischen
companion,Begleiter
company,Firma
compare,vergleichen
compared,Vergleich
comparing,Vergleich
comparison,Vergleich
compassionate,compassionate
compelling,zwingenden
compete,konkurrieren
compilation,Zusammenstellung
compilations,Zusammenstellungen
complaining,klagen
complains,beklagt
complaint,Beschwerde
complaints,Beschwerden
complement,ergänzen
complete,abgeschlossen
completed,abgeschlossen
completely,komplett
complex,Komplex
composer,Komponist
compositions,Kompositionen
comprehend,begreifen
comprehensive,umfassende
computer,Computer
con,con
concept,Konzept
concepts,Konzepte
concern,Belang
concerned,betroffenen
concerning,über
concerns,Bedenken
concert,Konzert
concerto,Konzert
concerts,Konzerte
concise,prägnant
conclude,schließen
concluding,Abschluss
conclusion,Abschluss
concrete,Beton
condescending,herablassend
condition,Zustand
confess,bekennen
conflict,Konflikt
confront,konfrontieren
confused,verwirrt
confusing,verwirrend
connection,Verbindung
connery,connery
cons,Nachteile
consequences,Folgen
conservative,konservativ
consider,prüfen
considerable,erhebliche
considered,als
considering,Prüfung
consistent,Einklang
consistently,konsequent
consists,besteht
constant,Konstante
constantly,ständig
consumers,Verbraucher
consumption,Verbrauch
contact,Kontakt
contain,enthalten
contained,enthalten
contains,enthält
contemplative,kontemplativen
contemporaries,Zeitgenossen
contemporary,zeitgenössische
content,Inhalt
contents,Inhalt
contest,Wettbewerb
continue,weiter
continues,weiter
contract,Vertrag
contradictory,widersprüchlich
contrast,Kontrast
contrived,gekünstelt
control,Kontrolle
controversial,umstritten
convenience,Bequemlichkeit
convenient,bequem
conventional,konventionellen
conversation,Gespräch
conversations,Gespräche
conveyed,vermittelt
conveys,vermittelt
convinced,"davonüberzeugt,"
convincing,überzeugend
convincingly,überzeugend
convoluted,gewunden
cookbook,Kochbuch
cookbooks,Kochbücher
cooking,Kochen
cool,kühl
cooper,Cooper
cop,cop
cope,fertig
copied,kopiert
copies,Kopien
coping,Bewältigung
copy,kopieren
core,Kern
cornwell,Cornwell
correct,richtig
correctly,korrekt
corrupt,korrupt
corruption,Korruption
cost,Kosten
costs,Kosten
costume,Kostüm
costumes,Kostüme
costuming,Kostüme
couch,Couch
could,könnte
couldnt,couldnt
count,count
counting,Zählen
countries,Länder
country,Land
counts,zählt
couple,Paar
courage,Mut
courageous,mutig
course,Kurs
courses,Kurse
courtesy,mitfreundlicherGenehmigung
cousin,Cousin
cousins,Cousins
cover,Decke
coverage,Abdeckung
covering,für
covers,umfasst
cow,Kuh
cowboy,Cowboy
crack,crack
cracked,geknackt
crafted,Handarbeit
craig,craig
crank,Kurbel
crap,Mist
crappy,crappy
crazy,verrückt
cream,Sahne
create,erstellen
created,erstellt
creates,schafft
creating,Erstellen
creation,Schaffung
creative,kreative
creativity,Kreativität
creators,Schöpfer
creature,Kreatur
creatures,Kreaturen
credibility,Glaubwürdigkeit
credit,Kredit
credits,Credits
creek,Muskogee-Sprachen
creepy,creepy
crew,Belegschaft
crichton,Crichton
crime,Kriminalität
crimes,Verbrechen
cringe,lunge
crisis,Krise
crisp,knusprig
criterion,Kriterium
criticism,Kritik
critics,Kritiker
critique,Kritik
crosby,Crosby
cross,Kreuz
crossing,Kreuzung
crossover,Crossover
crow,Krähe
crowd,Menge
crunk,crunk
crushed,gebrochen
cry,weinen
crying,weinen
cube,Würfel
culinary,kulinarische
cult,Kult
cultural,Kultur
culture,Kultur
cultures,Kulturen
cup,Tasse
cure,Heilung
curious,neugierig
current,aktuell
currently,derzeit
curtis,curtis
customer,Kunde
cut,schneiden
cute,niedlich
cuts,Kürzungen
cutting,Schneiden
cynical,zynisch
d,d
dad,Papa
daily,täglich
damaging,beschädigen
dame,dame
damn,verdammen
dan,dan
dance,Tanz
danceable,tanzbare
dances,Tänze
dancing,Tanz
dangerous,gefährlich
daniel,daniel
daniels,daniels
danny,danny
dare,wagen
daring,Kühnheit
dark,dunkel
darker,dunkler
darkest,dunkelsten
darling,Liebling
darn,darn
date,Datum
dated,vom
daughter,Tochter
daughters,Töchter
dave,dave
david,david
davis,davis
day,Tag
days,Tag
de,de
dead,tot
deal,Handel
dealers,Händler
dealing,Umgang
deals,Angebote
dean,Dekan
dear,lieb
death,Tod
deaths,Gestorben
deaver,Deaver
deborah,Deborah
debut,Debüt
decade,Jahrzehnt
decades,Jahrzehnte
december,Dezember
decent,menschenwürdige
decide,entscheiden
decided,beschlossen
decides,entscheidet
decision,Entscheidung
dedication,Engagement
deeds,Taten
deep,tief
deeply,tief
defend,verteidigen
defense,Verteidigung
definately,definitiv
define,define
definetly,definitiv
definite,bestimmte
definitely,definitiv
definitive,endgültigen
degree,Grad
deleted,gelöscht
deliberately,absichtlich
delicious,delicious
delight,Freude
delighted,freuen
delightful,entzückende
deliver,liefern
delivered,geliefert
delivering,liefert
delivers,liefert
delivery,Lieferung
delta,Delta
deluxe,deluxe
demo,Demo
democratic,demokratischen
demons,Dämonen
demonstrates,zeigt
deniro,deniro
deny,leugnen
denzel,denzel
depend,hängen
depicted,dargestellt
depicting,Darstellung
depiction,Darstellung
depressing,bedrückend
depression,Depression
depth,Tiefe
depths,Tiefe
derek,derek
descent,Abstieg
describe,beschreiben
described,beschrieben
describes,beschreibt
describing,Beschreibung
description,Beschreibung
desert,Wüste
deserve,verdienen
deserved,verdient
deserves,verdient
deserving,verdient
design,Design
designs,Designs
desire,Wunsch
desired,gewünschte
desk,Schreibtisch
despair,Verzweiflung
desperate,verzweifelt
despite,trotz
destined,bestimmt
destiny,Schicksal
destruction,Zerstörung
detail,Detail
detailed,detaillierte
details,Details
detective,Detektiv
determination,Bestimmung
develop,entwickeln
developed,entwickelt
developing,Entwicklung
development,Entwicklung
develops,entwickelt
devil,Teufel
devoid,frei
di,di
dialog,Dialog
dialogue,Dialog
dialogues,Dialoge
diana,diana
diaries,Tagebücher
diatribe,Diatribe
did,tat
diddy,diddy
die,sterben
die-hard,die-hard
died,gestorben
dies,stirbt
difference,Unterschied
different,verschiedenen
differently,anders
difficult,schwer
difficulties,Schwierigkeiten
dig,dig
digital,digital
dignity,Würde
dimension,Dimension
dinosaur,Dinosaurier
dire,dire
direct,direkten
direct-to-video,Direct-to-Video
directed,Regie
directing,Regie
direction,Richtung
director,Direktor
directors,Direktoren
dirt,Schmutz
dirty,schmutzig
disapointment,Enttäuschung
disappears,verschwindet
disappoint,enttäuschen
disappointed,enttäuscht
disappointing,enttäuschend
disappointment,Enttäuschung
disaster,Katastrophe
disastrous,katastrophale
disc,CD
disco,Disco
discography,Diskographie
discourse,Diskurs
discover,entdecken
discovered,entdeckt
discovery,Entdeckung
discs,Discs
discusses,diskutiert
discussing,Diskussion
discussion,Diskussion
disease,Krankheit
disgrace,Schande
disgusted,Ekel
disgusting,ekelhaft
dishonest,unehrlich
disingenuous,unaufrichtig
disjointed,unzusammenhängend
disk,Festplatte
disks,Festplatten
dislike,Abneigung
disney,disney
display,Anzeige
displayed,angezeigt
displays,Displays
dissapointed,enttäuscht
dissapointing,dissapointing
dissapointment,dissapointment
distinct,deutliche
distorted,verzerrt
distortion,Verzerrung
distracted,abgelenkt
distracting,ablenken
diverse,diverse
diversity,Vielfalt
divided,geteilt
dj,dj
do,tun
doc,doc
doctor,Arzt
doctors,Ärzte
documentary,Dokumentarfilm
documents,Dokumente
does,tut
dog,Hund
dogg,dogg
dogs,Hunde
doing,Dabei
dollar,Dollar
dollars,Dollar
dolly,Dolly
don,don
done,getan
donna,donna
dont,dont
doo,doo
door,Tür
doors,Türen
dope,dope
doris,doris
double,Doppel-
doubt,Zweifel
down,abwärts
downhill,Abfahrt
download,herunterladen
downright,geradezu
downs,Abschreibungen
dr,dr
drab,eintönig
drag,ziehen
dragged,gezogen
drags,schleppt
drama,Drama
dramas,Dramen
dramatic,dramatischen
dramatically,dramatisch
draw,zeichnen
drawn,gezogen
dre,dre
dreadful,schrecklich
dream,Traum
dreams,Träume
dreamy,verträumte
dress,Kleid
drew,zog
drinking,Trinkwasser
drive,fahren
drivel,Gefasel
driven,getrieben
drives,Laufwerke
driving,Fahren
drone,Drohne
droning,Dröhnen
drop,Tropfen
dropped,gesunken
dropping,dropping
drug,Drogen
drugs,Drogen
drum,Trommel
drummer,Schlagzeuger
drumming,drumming
drums,Trommeln
dry,trocken
dual,Dual
dub,dub
dubbing,Überspielen
dud,dud
dude,Kumpel
due,fällig
duet,Duett
duets,Duette
duke,Herzog
dull,stumpf
dumb,dumm
dump,dump
dumped,gedumpten
duo,Duo
during,während
duvall,Duvall
dvd,dvd
dvds,DVDs
dylan,dylan
dynamic,Dynamik
dynamics,Dynamik
e.g,z.B.
each,jeder
eager,begierig
eagerly,eifrig
ear,Ohr
earl,Graf
earlier,früher
earliest,frühesten
early,früh
earn,verdienen
ears,Ohren
earth,Erde
ease,Leichtigkeit
easier,leichter
easily,leicht
easy,einfach
eaten,gegessen
eating,Essen
echo,echo
eclectic,eklektisch
economic,Wirtschaft
ed,ed
eddie,eddie
edge,Kante
edgy,edgy
edit,Bearbeiten
edited,edited
editing,Bearbeitung
edition,Auflage:
editor,Editor
educational,Bildungs-
edward,edward
eerie,unheimliche
effect,Wirkung
effective,wirksame
effectively,effektiv
effects,Auswirkungen
effort,Mühe
effortlessly,mühelos
efforts,Bemühungen
ego,Ich
eight,acht
either,entweder
el,el
election,Wahl
electric,Elektrisch
electronic,elektronische
electronica,electronica
elegant,elegant
element,Element
elementary,Elementarteilchen
elements,Elemente
eleven,elf
eliminate,beseitigen
elizabeth,elizabeth
ella,ella
ellington,Ellington
else,sonst
elsewhere,anderswo
elton,elton
embarassed,verlegen
embarrassing,peinlich
embarrassment,Verlegenheit
embrace,Umarmung
emma,emma
emo,emo
emotion,Emotion
emotional,emotionale
emotionally,emotional
emotions,Emotionen
emphasis,Schwerpunkt
emphasize,betonen
empire,Reich
employed,Arbeitnehmer
employees,Mitarbeiter
empty,leer
en,en
encounters,Begegnungen
end,Ende
ended,beendet
ending,Ende
endless,endlose
ends,endet
enemies,Feinde
enemy,Feind
energetic,energische
energy,Energie
engaging,Engaging
engineering,Engineering
england,England
english,Englisch
enhances,erhöht
enjoy,genießen
enjoyable,Spaß
enjoyed,genossen
enjoying,Genießen
enjoyment,Genuss
enjoys,genießt
eno,eno
enough,genug
ensemble,Ensemble
enter,GebenSie
entering,Eingabe
enterprise,Unternehmen
entertain,Unterhaltung
entertainer,Entertainer
entertaining,unterhaltsam
entertainment,Unterhaltung
entire,gesamten
entirely,ganz
entirety,Teilen
ep,ep
epic,Epos
epics,Epen
episode,Folge
episodes,Episoden
equal,equal
equally,gleich
er,ER
era,era
eric,eric
erotic,Erotik
error,Fehler
errors,Fehler
escape,Flucht
especially,vorallem
essence,Wesen
essential,wesentliche
essentially,imWesentlichen
etc,etc
eternal,ewige
ethan,ethan
europe,Europa
european,european
even,eben
evening,Abend
event,Veranstaltung
events,Veranstaltungen
eventually,schließlich
ever,jemals
every,jeder
everybody,alle
everyday,Alltag
everyone,jeder
everything,alles
everywhere,überall
evidence,Beweise
evil,böse
evocative,evocative
evolution,Evolution
evolved,entwickelt
exactly,genau
examination,Prüfung
examines,untersucht
examining,Prüfung
example,Beispiel
excellence,Exzellenz
excellent,ausgezeichnet
except,Ausnahme
exception,Ausnahme
exceptional,außergewöhnlichen
excited,aufgeregt
excitement,Aufregung
exciting,spannend
exclusively,ausschließlich
excuse,Entschuldigung
executed,ausgeführt
execution,Ausführung
executive,Exekutive
exercise,Übung
exercises,Übungen
existed,bestanden
existence,Existenz
existential,existentielle
existing,bestehenden
exists,existiert
exit,Ausfahrt
exotic,exotische
expand,Erweitern
expanded,erweitert
expect,erwarten
expectations,Erwartungen
expected,erwartet
expecting,erwartet
expensive,teuer
experience,Erfahrung
experimental,experimental
experiments,Experimente
experts,Experten
explain,erklären
explained,erklärt
explains,erklärt
explanation,Erklärung
exploitation,Ausbeutung
explore,erkunden
explores,erkundet
exploring,erkunden
exposed,ausgesetzt
exposure,Exposition
express,Ausdruck
expression,Ausdruck
expressive,expressive
exquisite,exquisite
extended,verlängert
extent,Umfang
extra,extra
extraordinary,außerordentliche
extras,Extras
extreme,extreme
extremely,extrem
eye,Auge
eyes,Augen
fabulous,fabelhafte
face,Gesicht
faced,konfrontiert
faces,Gesichter
facing,vor
fact,Tatsache
factors,Faktoren
facts,Fakten
factual,faktischen
fading,Fading
fail,scheitern
failed,gescheitert
fails,nicht
failure,Ausfall
fair,gerecht
fairly,ziemlich
faith,Glaube
faithful,treu
fake,Fälschung
fall,fallen
falling,fallen
falls,fällt
false,false
falsehood,Lüge
fame,Ruhm
familiar,vertraut
family,Familie
famous,berühmten
fan,Lüfter
fans,Fans
fantastic,phantastischen
fantasy,Phantasie
far,weit
fart,fart
fascinated,fasziniert
fascinating,faszinierende
fascination,Faszination
fashion,Mode
