source,target
Autre,alternate
alternatifs,alternative
bienque,although
toutàfait,altogether
toujours,always
am,am
amateurisme,amateurish
étonné,amazed
étonnant,amazing
étonnamment,amazingly
amazon,amazon
ambiance,ambience
ambiante,ambient
ambition,ambition
america,america
american,american
Américains,americans
parmi,among
montant,amount
montants,amounts
amusé,amused
amusant,amusing
amy,amy
une,an
analyse,analysis
analyste,analyst
anamorphique,anamorphic
anatomie,anatomy
ancre,anchor
antique,ancient
et,and
et/ou,and/or
anderson,anderson
andy,andy
ange,angel
angeles,angeles
Angelina,angelina
lacolère,anger
encolère,angry
Angst,angst
desanimaux,animal
animaux,animals
animée,animated
animation,animation
Anime,anime
ann,ann
anna,anna
anniversaire,anniversary
ennuyé,annoyed
ennuyeux,annoying
unautre,another
réponse,answer
répondre,answering
réponses,answers
hymne,anthem
hymnes,anthems
anthony,anthony
anticipation,anticipation
n'importelequel,any
personne,anybody
plus,anymore
n'importequi,anyone
n'importequoi,anything
n'importequand,anytime
detoutemanière,anyway
anyways,anyways
n'importeoù,anywhere
AP,ap
àpart,apart
Appartement,apartment
épouvantable,appalling
apparente,apparent
apparemment,apparently
appel,appeal
attrayant,appealing
semblent,appear
apparence,appearance
apparences,appearances
paru,appeared
apparaît,appears
l'appétit,appetite
application,application
applications,applications
appliquée,applied
appliquer,apply
apprécions,appreciate
apprécié,appreciated
satisfaction,appreciation
approche,approach
approché,approached
appropriée,appropriate
Avril,april
arc,arc
archaïque,archaic
architecte,architect
architecture,architecture
sont,are
zone,area
domaines,areas
Arena,arena
argento,argento
sansdoute,arguably
soutiennent,argue
argument,argument
arguments,arguments
bras,arm
bras,arms
armstrong,armstrong
armée,army
surgi,arose
autour,around
arrangé,arranged
arrangement,arrangement
arrangements,arrangements
array,array
arrivée,arrival
arrivé,arrived
arrive,arrives
arrogant,arrogant
art,art
Articles,articles
articuler,articulate
Artiste,artist
artistiques,artistic
art,artistry
Artistes,artists
artwork,artwork
comme,as
honte,ashamed
ashley,ashley
asia,asia
decôté,aside
demander,ask
demandé,asked
demandant,asking
endormi,asleep
aspect,aspect
aspects,aspects
aspirant,aspiring
cul,ass
assaut,assault
affirmation,assertion
affirmations,assertions
affirme,asserts
ressource,asset
actifs,assets
attribué,assigned
aider,assist
Association,association
assortiment,assortment
assumer,assume
supposé,assumed
n'assume,assumes
ensupposant,assuming
hypothèse,assumption
hypothèses,assumptions
étonnant,astonishing
étonnante,astounding
à,at
Atlantique,atlantic
atmosphère,atmosphere
atmosphérique,atmospheric
atroce,atrocious
piècejointe,attachment
attaquer,attacking
attaques,attacks
tentative,attempt
tentative,attempted
tenter,attempting
tentatives,attempts
assisté,attended
attention,attention
attitude,attitude
attractif,attractive
public,audience
publics,audiences
Audio,audio
Août,august
phonétique,aural
Austen,austen
Austin,austin
Australie,australia
authenticité,authenticity
Auteur,author
autorité,authority
auteurs,authors
autobiographie,autobiography
automatiquement,automatically
disponible,available
moyenne,average
Avid,avid
éviter,avoid
éveillé,awake
Awards,awards
conscient,aware
parti,away
génial,awesome
horrible,awful
maladroit,awkward
awsome,awsome
hache,axe
b,b
B-Movie,b-movie
b-side,b-side
B-Sides,b-sides
bébé,baby
bach,bach
retour,back
backed,backed
arrière-plan,background
Arrière-plans,backgrounds
desbandes,backing
sauvegarde,backup
enarrière,backwards
mauvais,bad
mal,badly
sac,bag
boulangerie,baked
Baker,baker
cuisson,baking
équilibre,balance
équilibré,balanced
lessoldes,balances
Baldacci,baldacci
ballon,ball
ballade,ballad
ballades,ballads
Ballet,ballet
banale,banal
bandede,band
bandes,bands
bang,bang
Banjo,banjo
Banque,bank
barbara,barbara
coiffeur,barber
àpeine,barely
négocier,bargain
barnes,barnes
Barr,barr
barry,barry
Barrymore,barrymore
Bars,bars
base,base
Baseball,baseball
base,based
debase,basic
essentiellement,basically
Basics,basics
base,basis
Bass,bass
bassiste,bassist
salledebains,bathroom
baignoire,bathtub
bataille,battle
batailles,battles
être,be
plage,beach
supporter,bear
ours,bears
battre,beat
beatles,beatles
bat,beats
magnifique,beautiful
magnifiquement,beautifully
beauté,beauty
estdevenu,became
car,because
devenir,become
devient,becomes
devenir,becoming
lit,bed
l'heureducoucher,bedtime
abeille,bee
boeuf,beef
été,been
bière,beer
avant,before
acommencé,began
commencer,begin
début,begining
Débutant,beginner
débutants,beginners
début,beginning
débuts,beginnings
commence,begins
comportement,behavior
comportement,behaviour
derrière,behind
behind-the-scenes,behind-the-scenes
étant,being
êtres,beings
croyance,belief
croyances,beliefs
crédible,believable
croire,believe
croit,believes
appartenir,belong
appartient,belongs
bien-aimée,beloved
endessous,below
ben,ben
sous,beneath
profit,benefit
benjamin,benjamin
courbé,bent
berlin,berlin
Berry,berry
deplus,besides
meilleur,best
pari,bet
trahison,betrayal
mieux,better
entre,between
Méfiez-vous,beware
Beyonce,beyonce
au-delà,beyond
partialité,bias
biaisé,biased
bible,bible
bibliques,biblical
grand,big
plusgrand,bigger
plusgrand,biggest
facture,bill
factures,bills
billy,billy
bin,bin
biographie,biography
oiseau,bird
naissance,birth
anniversaire,birthday
bit,bit
mordre,bite
douce-amère,bittersweet
bizarre,bizarre
noir,black
ennoiretblanc,black-and-white
blah,blah
blâme,blame
blâme,blames
Bland,bland
fourneaux,blast
flagrante,blatant
Blazing,blazing
bleed,bleed
mélange,blend
mélanges,blends
bienheureux,blessed
bénédiction,blessing
souffla,blew
aveugle,blind
Bliss,bliss
cloques,blistering
bloc,block
sang,blood
bloom,bloom
souffler,blow
soufflage,blowing
soufflé,blown
coups,blows
bleu,blue
bluegrass,bluegrass
schémadirecteur,blueprint
blues,blues
floue,blurry
tableau,board
Bateau,boat
bob,bob
bobby,bobby
corporelles,bodily
corps,body
bidon,bogus
gras,bold
attentat,bombing
obligataire,bond
os,bone
os,bones
bonus,bonus
livre,book
livret,booklet
livres,books
librairie,bookstore
boom,boom
boot,boot
bootleg,bootleg
frontières,borders
alésage,bore
ennuyé,bored
l'ennui,boredom
ennuyeux,boring
né,born
emprunter,borrow
patron,boss
lesdeux,both
embêter,bother
dérangés,bothered
bas,bottom
acheté,bought
rebondir,bounce
rebond,bound
limites,boundaries
Bounty,bounty
arc,bow
Bowie,bowie
case,box
garçon,boy
petitami,boyfriend
garçons,boys
brad,brad
cerveau,brain
sanscervelle,brainless
cerveaux,brains
Bram,bram
marque,brand
Cuivres,brass
bravo,bravo
Brésil,brazil
brazilian,brazilian
pause,break
ventilation,breakdown
briser,breaking
pauses,breaks
percée,breakthrough
seins,breasts
souffle,breath
respirer,breathe
àcouperlesouffle,breathtaking
jovial,breezy
Brew,brew
brian,brian
brique,brick
Bridge,bridge
bref,brief
brillant,bright
brillance,brilliance
brillant,brilliant
brillamment,brilliantly
apporter,bring
apportant,bringing
apporte,brings
brit,brit
Grande-Bretagne,britain
british,british
large,broad
pluslarge,broader
Broadway,broadway
Brooks,brooks
bros,bros
frère,brother
frères,brothers
apporté,brought
marron,brown
bruce,bruce
brutal,brutal
BTW,btw
Bubbly,bubbly
Buck,buck
Bucks,bucks
bouddhiste,buddhist
Buddy,buddy
budget,budget
Buff,buff
buffy,buffy
construire,build
bâtiment,building
construit,builds
volume,bulk
balles,bullets
empoté,bumbling
bummer,bummer
bosse,bump
bouquet,bunch
brûler,burn
brûlé,burned
brûlures,burns
bus,bus
Bush,bush
entreprise,business
entreprises,businesses
businessman,businessman
buste,bust
occupé,busy
mais,but
égorgés,butchered
bout,butt
bouton,button
acheter,buy
Acheteur,buyer
d'achat,buying
buzz,buzz
par,by
c,c
ca,ca
cab,cab
cabine,cabin
appeler,call
appelé,called
appelant,calling
Appels,calls
calme,calm
venu,came
Appareilphoto,camera
Cameron,cameron
camp,camp
Campbell,campbell
camps,camps
pouvoir,can
Canada,canada
canadian,canadian
annulée,canceled
annulé,cancelled
lecancer,cancer
candidat,candidate
bougie,candle
nepeuventpas,cannot
cant,cant
capable,capable
lacapacité,capacity
capitalisme,capitalism
captivé,captivated
captivante,captivating
capture,capture
capturés,captured
Captures,captures
voiture,car
carte,card
carton,cardboard
Cardio,cardio
soin,care
decarrière,career
Attention,careful
attentivement,carefully
soucis,cares
Carey,carey
caricature,caricature
caricatures,caricatures
priseencharge,caring
carl,carl
Carol,carol
carolyn,carolyn
Carpenter,carpenter
Carrie,carrie
effectué,carried
porte,carries
porter,carry
voitures,cars
Carter,carter
Cartoon,cartoon
caricatures,cartoons
cas,case
cas,cases
detrésorerie,cash
Casino,casino
cassette,cassette
Cast,cast
casting,casting
occasionnels,casual
chat,cat
attraper,catch
attraper,catching
catchy,catchy
catholique,catholic
chats,cats
capturés,caught
cause,cause
causes,causes
causant,causing
cd,cd
cds,cds
célébration,celebration
Célébrité,celebrity
celluloïd,celluloid
celtic,celtic
cent,cent
centre,center
centré,centered
centres,centers
centrale,central
cents,cents
siècles,centuries
siècle,century
certain,certain
certainement,certainly
chaîne,chain
tronçonneuse,chainsaw
chaise,chair
contesté,challenged
défis,challenges
difficile,challenging
championnat,championship
chance,chance
chances,chances
changer,change
changé,changed
changements,changes
changer,changing
Channel,channel
Chant,chant
chaos,chaos
chaotique,chaotic
Chapitre,chapter
chapitres,chapters
caractère,character
Caractérisation,characterization
caractères,characters
facturer,charge
facturés,charged
charles,charles
charlie,charlie
charlotte,charlotte
charme,charm
charmant,charming
Charts,charts
Chase,chase
bonmarché,cheap
moinscher,cheaper
triché,cheated
tricher,cheating
vérifier,check
vérifiée,checked
vérifier,checking
fromage,cheese
cheesy,cheesy
chef,chef
Chefs,chefs
Chimie,chemistry
cerise,cherry
Echecs,chess
chicago,chicago
chick,chick
chef,chief
enfant,child
l'enfance,childhood
enfantin,childish
enfants,children
Childrens,childrens
chill,chill
chilling,chilling
Chine,china
Chinois,chinese
chocolat,chocolate
choix,choice
choix,choices
chœur,choir
choisir,choose
clapot,choppy
Côtelettes,chops
chord,chord
corvée,chore
chorégraphie,choreography
Chorus,chorus
choisi,chose
choisi,chosen
chris,chris
christ,christ
christian,christian
christianisme,christianity
Chrétiens,christians
Noël,christmas
chronique,chronic
Chronique,chronicle
Chuck,chuck
église,church
Eglises,churches
cinéma,cinema
cinématographique,cinematic
Images,cinematography
cercle,circle
circonstances,circumstances
cirque,circus
villes,cities
encitant,citing
citoyens,citizens
ville,city
civilisation,civilization
réclamation,claim
revendiquée,claimed
prétendant,claiming
revendications,claims
Clancy,clancy
clarté,clarity
Clark,clark
Clarkson,clarkson
affrontement,clash
classe,class
classes,classes
Classic,classic
classique,classical
Classics,classics
classy,classy
argile,clay
propre,clean
nettoyés,cleaned
clair,clear
clairement,clearly
intelligent,clever
Cliche,cliche
cliché,cliched
clichés,cliches
clients,clients
climatiques,climactic
climax,climax
Clinton,clinton
rognées,clipped
clips,clips
clooney,clooney
fermer,close
deprès,closely
plusprès,closer
plusproche,closest
placard,closet
vêtements,clothes
Clown,clown
clowns,clowns
club,club
Clubs,clubs
clue,clue
clueless,clueless
indices,clues
maladroit,clumsy
maladroit,clunky
fouillis,clutter
co,co
collèguesdetravail,co-workers
coach,coach
charbon,coal
côte,coast
Code,code
cohen,cohen
cohérente,coherent
cohésive,cohesive
froid,cold
collaboration,collaboration
recueillir,collect
collection,collection
Collections,collections
collectionneurs,collectors
Collège,college
colonie,colony
couleur,color
coloré,colorful
couleurs,colors
couleur,colour
Coltrane,coltrane
colombie,columbia
Combinaison,combination
combinaisons,combinations
combinés,combined
combine,combines
Combo,combo
venir,come
Comédies,comedies
comédie,comedy
vient,comes
Confort,comfort
confortable,comfortable
réconfortant,comforting
BD,comic
comique,comical
àvenir,coming
uncommentaire,comment
commentaires,commentaries
commentaire,commentary
commenté,commented
commentaires,comments
commerciale,commercial
publicités,commercials
commis,committed
courant,common
couramment,commonly
communiquer,communicate
communique,communicates
Communication,communication
communiste,communist
communautés,communities
communauté,community
compagnon,companion
entreprise,company
Comparer,compare
comparativement,compared
comparer,comparing
Comparaison,comparison
compassion,compassionate
convaincant,compelling
rivaliser,compete
compilation,compilation
compilations,compilations
plaint,complained
plaindre,complaining
seplaint,complains
plainte,complaint
plaintes,complaints
complément,complement
complète,complete
terminé,completed
complètement,completely
complexes,complex
compliqué,complicated
Compositeur,composer
composition,composition
Compositions,compositions
comprendre,comprehend
globale,comprehensive
ordinateur,computer
con,con
concept,concept
concepts,concepts
inquiétude,concern
concernés,concerned
concernantles,concerning
préoccupations,concerns
Concert,concert
Concerto,concerto
Concerts,concerts
concise,concise
conclure,conclude
finales,concluding
conclusion,conclusion
béton,concrete
condescendante,condescending
condition,condition
Conférence,conference
avouer,confess
conflits,conflict
confronter,confront
confondre,confuse
confondre,confused
déroutant,confusing
Congrès,congress
connexion,connecting
connexion,connection
Connery,connery
cons,cons
conséquences,consequences
conservateur,conservative
envisager,consider
considérable,considerable
considérée,considered
envisage,considering
conforme,consistent
constamment,consistently
consistant,consisting
consiste,consists
constants,constant
constamment,constantly
constitutionnel,constitutional
consommateurs,consumers
consommation,consumption
Contact,contact
contiennent,contain
contenues,contained
contient,contains
contemplative,contemplative
contemporains,contemporaries
contemporaine,contemporary
outrage,contempt
contenu,content
Sommaire,contents
Concours,contest
contexte,context
continuer,continue
continue,continues
contrat,contract
contradictoires,contradictory
contredit,contradicts
Contraste,contrast
artificiel,contrived
contrôle,control
controversée,controversial
commodité,convenience
commode,convenient
commodément,conveniently
conventionnelles,conventional
conversation,conversation
conversations,conversations
Laconversion,conversion
convertir,convert
transmis,conveyed
transmet,conveys
condamné,convicted
convaincu,convinced
convaincant,convincing
convaincante,convincingly
alambiqué,convoluted
cookbook,cookbook
livresdecuisine,cookbooks
cuisson,cooking
cool,cool
Cooper,cooper
COP,cop
face,cope
copié,copied
copies,copies
adaptation,coping
copie,copy
principal,core
Cornwell,cornwell
correcte,correct
correctement,correctly
corrompus,corrupt
corruption,corruption
coût,cost
coûts,costs
costume,costume
costumes,costumes
costumes,costuming
Cottage,cottage
divan,couch
pourrait,could
couldnt,couldnt
counseling,counseling
count,count
comptage,counting
innombrables,countless
pays,countries
pays,country
chiffres,counts
encouple,couple
courage,courage
courageux,courageous
cours,course
Cours,courses
courtoisie,courtesy
cousin,cousin
cousins,cousins
couvrir,cover
couverture,coverage
couverts,covered
couvrant,covering
couvre,covers
lavache,cow
Cowboy,cowboy
crack,crack
craquage,cracked
conçu,crafted
craig,craig
manivelle,crank
merde,crap
crappy,crappy
fou,crazy
crème,cream
créer,create
créé,created
crée,creates
créer,creating
création,creation
Creative,creative
lacréativité,creativity
créateur,creator
créateurs,creators
créature,creature
créatures,creatures
crédibilité,credibility
crédit,credit
crédits,credits
Creek,creek
creepy,creepy
équipage,crew
Crichton,crichton
s'écria,cried
criminalité,crime
crimes,crimes
ramper,cringe
crise,crisis
Crisp,crisp
critère,criterion
critique,critical
critique,criticism
critiques,critics
critique,critique
Crosby,crosby
Cross,cross
depassage,crossing
crossover,crossover
corneille,crow
foule,crowd
crunk,crunk
écrasé,crushed
pleurer,cry
pleurer,crying
cube,cube
culinaire,culinary
culte,cult
cultes,cults
culturelle,cultural
Culture,culture
cultures,cultures
tasse,cup
guérir,cure
curieux,curious
actuel,current
actuellement,currently
Curtis,curtis
courbe,curve
client,customer
couper,cut
mignon,cute
coupures,cuts
decoupe,cutting
cynique,cynical
d,d
dc,d.c
papa,dad
quotidienne,daily
dommageables,damaging
Dame,dame
àdeuxballes,damn
dan,dan
danse,dance
dansants,danceable
danses,dances
danse,dancing
dangereux,dangerous
daniel,daniel
daniels,daniels
danny,danny
oser,dare
oser,daring
sombre,dark
plussombre,darker
lesplussombres,darkest
chéri,darling
darn,darn
données,data
date,date
endatedu,dated
fille,daughter
filles,daughters
dave,dave
david,david
davis,davis
jour,day
jour,days
de,de
mort,dead
affaire,deal
concessionnaires,dealers
traitant,dealing
Offresspéciales,deals
Dean,dean
cher,dear
mort,death
Décès,deaths
Deaver,deaver
deborah,deborah
débuts,debut
décennie,decade
décennies,decades
trompé,deceived
Décembre,december
décent,decent
décider,decide
adécidé,decided
décidément,decidedly
décide,decides
décider,deciding
décision,decision
dévouement,dedication
actes,deeds
profond,deep
plusprofond,deepest
profondément,deeply
défendre,defend
défense,defense
définitivement,definately
définir,define
définitivement,definetly
définitive,definite
définitivement,definitely
définitif,definitive
degré,degree
supprimé,deleted
délibérément,deliberately
Delicious,delicious
ravissement,delight
heureux,delighted
délicieuse,delightful
livrer,deliver
livrés,delivered
prestation,delivering
livre,delivers
livraison,delivery
Delta,delta
Deluxe,deluxe
disparition,demise
Démo,demo
démocratique,democratic
démons,demons
démontre,demonstrates
déni,denial
DeNiro,deniro
nier,deny
Denzel,denzel
dépendent,depend
àcharge,dependent
dépeint,depicted
dépeignant,depicting
représentation,depiction
déprimé,depressed
déprimant,depressing
ladépression,depression
profondeur,depth
profondeurs,depths
derek,derek
descente,descent
décrire,describe
décrit,described
décrit,describes
décrivant,describing
Description,description
descriptions,descriptions
Descriptif,descriptive
désert,desert
méritent,deserve
mérité,deserved
mérite,deserves
méritants,deserving
conception,design
dessins,designs
désir,desire
désiré,desired
bureau,desk
désespoir,despair
désespérée,desperate
méprise,despise
malgré,despite
destinés,destined
destin,destiny
destruction,destruction
détail,detail
détaillée,detailed
Détails,details
Detective,detective
détermination,determination
développer,develop
développés,developed
endéveloppement,developing
développement,development
développe,develops
dispositifs,devices
diable,devil
dépourvu,devoid
consacre,devotes
dévotion,devotion
di,di
dedialogue,dialog
dialogue,dialogue
dialogues,dialogues
Diana,diana
diane,diane
Diaries,diaries
diatribe,diatribe
fit,did
Diddy,diddy
mourir,die
die-hard,die-hard
estmort,died
meurt,dies
alimentation,diet
différence,difference
différences,differences
différents,different
différemment,differently
difficile,difficult
difficultés,difficulties
dig,dig
numérique,digital
ladignité,dignity
dimension,dimension
dimensionnelle,dimensional
dinosaure,dinosaur
diplomatique,diplomatic
dire,dire
directs,direct
direct-to-video,direct-to-video
réalisé,directed
diriger,directing
direction,direction
directement,directly
Directeur,director
administrateurs,directors
lasaleté,dirt
sale,dirty
déçu,disapointed
disapointment,disapointment
disparaît,disappears
décevoir,disappoint
déçu,disappointed
décevant,disappointing
déception,disappointment
encasdecatastrophe,disaster
désastreux,disastrous
disque,disc
discerner,discern
disco,disco
discographie,discography
discours,discourse
découvrir,discover
découvert,discovered
découverte,discovery
discrédité,discredited
disques,discs
discuter,discuss
discuté,discussed
discute,discusses
discuter,discussing
Discussion,discussion
maladie,disease
disgrâce,disgrace
dégoûté,disgusted
dégoûtant,disgusting
malhonnête,dishonest
malhonnête,disingenuous
disjointes,disjointed
disque,disk
disques,disks
aversion,dislike
détestait,disliked
disney,disney
désorganisé,disorganized
afficher,display
affichés,displayed
affiche,displays
déplaisir,displeasure
mépris,disregard
dissapointed,dissapointed
dissapointing,dissapointing
dissapointment,dissapointment
dissappointed,dissappointed
distincte,distinct
déformée,distorted
distorsion,distortion
distraire,distract
distrait,distracted
distrayant,distracting
inquiétante,disturbing
divers,diverse
ladiversité,diversity
fracture,divide
divisé,divided
Divorcé,divorced
DJ,dj
faire,do
doc,doc
médecin,doctor
médecins,doctors
doctrines,doctrines
documentaire,documentary
documents,documents
fait,does
chien,dog
dogg,dogg
chiens,dogs
faisant,doing
dollar,dollar
dedollars,dollars
Dolly,dolly
Don,don
fait,done
Donna,donna
EXCLURE,dont
doo,doo
porte,door
portes,doors
Dope,dope
Doris,doris
double,double
doute,doubt
doutes,doubts
verslebas,down
Descente,downhill
télécharger,download
carrément,downright
Réductions,downs
dr,dr
terne,drab
glisser,drag
traîné,dragged
traîne,drags
drame,drama
drames,dramas
dramatique,dramatic
defaçonspectaculaire,dramatically
dessiner,draw
dessin,drawing
établi,drawn
dre,dre
affreux,dreadful
rêver,dream
rêves,dreams
rêveur,dreamy
robe,dress
dressing,dressing
aattiré,drew
potable,drinking
conduire,drive
radotage,drivel
conduit,driven
lecteurs,drives
conduite,driving
bourdon,drone
ronron,droning
goutte,drop
abandonné,dropped
abandon,dropping
drogue,drug
médicaments,drugs
tambour,drum
batteur,drummer
drumming,drumming
Batterie,drums
sécher,dry
double,dual
dub,dub
doublage,dubbing
Dud,dud
pote,dude
dû,due
duo,duet
duos,duets
Duke,duke
terne,dull
sourd,dumb
dump,dump
dumping,dumped
Duo,duo
pendant,during
Duvall,duvall
dvd,dvd
dvds,dvds
mourir,dying
dylan,dylan
dynamique,dynamic
Dynamique,dynamics
parexemple,e.g
chaque,each
avide,eager
avidement,eagerly
oreille,ear
Earl,earl
antérieure,earlier
plustôt,earliest
tôt,early
gagner,earn
oreilles,ears
terre,earth
l'aise,ease
facile,easier
facilement,easily
simple,easy
mangé,eaten
Restos,eating
echo,echo
éclectique,eclectic
économique,economic
économistes,economists
ed,ed
eddie,eddie
bord,edge
edgy,edgy
modifier,edit
edited,edited
édition,editing
édition,edition
Sousladirectionde,editor
éduquer,educate
l'éducation,education
éducatives,educational
edward,edward
eerie,eerie
effet,effect
efficaces,effective
efficacement,effectively
effets,effects
effort,effort
sanseffort,effortlessly
efforts,efforts
parexemple,eg
oeuf,egg
Moi,ego
huit,eight
soit,either
el,el
élection,election
électrique,electric
électronique,electronic
electro,electronica
élégant,elegant
élément,element
élémentaires,elementary
éléments,elements
onze,eleven
éliminer,eliminate
Elizabeth,elizabeth
ella,ella
Ellington,ellington
Ellis,ellis
éloquent,eloquent
éloquence,eloquently
autre,else
ailleurs,elsewhere
elton,elton
embarrassé,embarassed
embarrassé,embarrassed
embarrassant,embarrassing
embarras,embarrassment
embrasser,embrace
emma,emma
emo,emo
émotion,emotion
émotionnelle,emotional
émotionnellement,emotionally
émotions,emotions
empathie,empathy
accent,emphasis
souligner,emphasize
souligne,emphasizes
empire,empire
occupée,employed
employés,employees
vide,empty
fr,en
rencontres,encounters
encyclopédie,encyclopedia
fin,end
tâcher,endeavor
terminé,ended
seterminant,ending
terminaisons,endings
sansfin,endless
setermine,ends
supporter,endure
ennemis,enemies
ennemi,enemy
énergique,energetic
d'énergie,energy
s'engager,engaging
génie,engineering
ingénieurs,engineers
Angleterre,england
anglais,english
passionnant,engrossing
améliore,enhances
apprécier,enjoy
agréable,enjoyable
jouissait,enjoyed
jouissant,enjoying
jouissance,enjoyment
jouit,enjoys
eno,eno
énorme,enormous
assez,enough
ensemble,ensemble
Entrez,enter
entrant,entering
entreprise,enterprise
divertir,entertain
amuseur,entertainer
divertissant,entertaining
Divertissement,entertainment
ensemble,entire
entièrement,entirely
intégralité,entirety
environnement,environment
ep,ep
épique,epic
épopées,epics
Epilogue,epilogue
épisode,episode
épisodes,episodes
l'égalité,equal
aussi,equally
ER,er
ère,era
eric,eric
érotique,erotic
erronées,erroneous
Erreur,error
erreurs,errors
évasion,escape
échappé,escaped
particulier,especially
espionnage,espionage
essai,essay
essence,essence
essentielles,essential
l'essentiel,essentially
etc,etc
éternelle,eternal
ethan,ethan
Europe,europe
européenne,european
d'évaluation,evaluation
même,even
soir,evening
événement,event
Evénements,events
éventuelle,eventual
finalement,eventually
jamais,ever
chaque,every
toutlemonde,everybody
quotidienne,everyday
toutlemonde,everyone
tout,everything
partout,everywhere
preuves,evidence
évidemment,evidently
mauvais,evil
évocateur,evocative
évolution,evolution
évolué,evolved
exact,exact
exactement,exactly
examen,examination
examiner,examine
examine,examines
l'examen,examining
Parexemple,example
exemples,examples
l'excellence,excellence
excellent,excellent
sauf,except
exception,exception
exceptionnelles,exceptional
excessive,excessive
échange,exchange
excités,excited
excitation,excitement
passionnant,exciting
exclusivement,exclusively
excuse,excuse
excuses,excuses
exécutés,executed
exécution,execution
exécutif,executive
exercice,exercise
exercices,exercises
épuisé,exhausted
existent,exist
existait,existed
existence,existence
existentielle,existential
existants,existing
existe,exists
sortie,exit
exotiques,exotic
agrandir,expand
élargi,expanded
attendre,expect
attentes,expectations
attendus,expected
s'attendant,expecting
cher,expensive
l'expérience,experience
expérimentés,experienced
expériences,experiences
expérimentales,experimental
expériences,experiments
experts,experts
expliquer,explain
aexpliqué,explained
expliquant,explaining
explique,explains
explication,explanation
explications,explanations
l'exploitation,exploitation
Explorez,explore
explore,explores
explorer,exploring
exposés,exposed
l'exposition,exposure
Express,express
expression,expression
expressive,expressive
exquis,exquisite
étendu,extended
mesure,extent
extra,extra
étrangères,extraneous
extraordinaire,extraordinary
Extras,extras
extrêmes,extreme
extrêmement,extremely
extrémiste,extremist
oeil,eye
yeux,eyes
fabuleux,fabulous
visage,face
face,faced
visages,faces
face,facing
fait,fact
facteurs,factors
faits,facts
factuelles,factual
fading,fading
échouer,fail
échoué,failed
échoue,fails
échec,failure
loyal,fair
assez,fairly
