source,target
allein,alone
entlang,along
neben,alongside
sehr,alot
bereits,already
alright,alright
auch,also
verändert,altered
Stellvertreter,alternate
Alternative,alternative
obwohl,although
insgesamt,altogether
immer,always
am,am
dilettantisch,amateurish
Staunen,amazed
erstaunlich,amazing
erstaunlich,amazingly
amazon,amazon
Ambiente,ambience
ambient,ambient
Ehrgeiz,ambition
america,america
american,american
Amerikaner,americans
unter,among
Betrag,amount
amüsant,amusing
amy,amy
ein,an
anamorph,anamorphic
Anker,anchor
alten,ancient
und,and
und/oder,and/or
anderson,anderson
andy,andy
Engel,angel
angeles,angeles
angelina,angelina
Zorn,anger
wütend,angry
angst,angst
animiert,animated
Animation,animation
anime,anime
ann,ann
anna,anna
Jubiläum,anniversary
verärgert,annoyed
ärgerlich,annoying
einanderer,another
Antwort,answer
Antworten,answers
Hymne,anthem
Hymnen,anthems
anthony,anthony
Vorfreude,anticipation
beliebig,any
anybody,anybody
mehr,anymore
irgendjemand,anyone
irgendetwas,anything
jederzeit,anytime
immerhin,anyway
anyways,anyways
überall,anywhere
abgesehen,apart
Wohnung,apartment
scheinbaren,apparent
scheinbar,apparently
Rechtsmittel,appeal
ansprechenden,appealing
erscheinen,appear
Aussehen,appearance
Auftritte,appearances
erschienen,appeared
erscheint,appears
Anwendung,application
Anwendungen,applications
Anwendung,applied
schätzen,appreciate
geschätzt,appreciated
Wertschätzung,appreciation
Herangehensweise,approach
näherte,approached
entsprechende,appropriate
April,april
arc,arc
Architekt,architect
Architektur,architecture
sind,are
Bereich,area
Bereiche,areas
Arena,arena
argento,argento
wohl,arguably
"argumentieren,",argue
Argument,argument
Argumente,arguments
Arm,arm
Arme,arms
armstrong,armstrong
Armee,army
entstanden,arose
ringsherum,around
angeordnet,arranged
Anordnung,arrangement
Vereinbarungen,arrangements
Ankunft,arrival
angekommen,arrived
kommt,arrives
arrogant,arrogant
Kunst,art
Artikel,articles
artikulieren,articulate
Künstler,artist
Kunst,artistic
Artistik,artistry
Künstler,artists
Artwork,artwork
wie,as
schämen,ashamed
ashley,ashley
asia,asia
Flächenstilllegung,aside
fragen,ask
bat,asked
fragen,asking
Einschlafen,asleep
Aspekt,aspect
Aspekte,aspects
aufstrebende,aspiring
Esel,ass
Angriff,assault
Vermögenswerte,assets
unterstützen,assist
Sortiment,assortment
übernehmen,assume
angenommen,assumed
übernimmt,assumes
"vorausgesetzt,",assuming
Annahme,assumption
Annahmen,assumptions
erstaunlich,astonishing
erstaunliche,astounding
bei,at
atlantic,atlantic
Atmosphäre,atmosphere
atmosphärischen,atmospheric
grauenhaften,atrocious
Angriffe,attacks
Versuch,attempt
versucht,attempted
Versuch,attempting
Versuche,attempts
besucht,attended
Aufmerksamkeit,attention
Haltung,attitude
attraktiv,attractive
Publikum,audience
Publikum,audiences
Audio,audio
August,august
klanglichen,aural
Austen,austen
austin,austin
Australien,australia
Authentizität,authenticity
Autor,author
Behörde,authority
Autobiographie,autobiography
verfügbar,available
Durchschnitt,average
Avid,avid
vermeiden,avoid
wach,awake
Auszeichnungen,awards
weg,away
ehrfürchtig,awesome
furchtbar,awful
ungeschickt,awkward
awsome,awsome
b,b
b-movie,b-movie
B-Seite,b-side
B-Sides,b-sides
Baby,baby
bach,bach
zurück,back
Hintergrund,background
Hintergrund,backgrounds
Playbacks,backing
Backup,backup
rückwärts,backwards
schlecht,bad
schlecht,badly
bag,bag
Bäcker,baker
Gleichgewicht,balance
ausgewogenen,balanced
Salden,balances
Baldacci,baldacci
Ball,ball
Ballade,ballad
Balladen,ballads
Ballett,ballet
banal,banal
Band,band
Bands,bands
bang,bang
banjo,banjo
Bank,bank
barbara,barbara
Barbier,barber
kaum,barely
Schnäppchen,bargain
Barr,barr
barry,barry
Barrymore,barrymore
Basis,base
Baseball,baseball
Basis,based
grundlegende,basic
imGrunde,basically
Grundlagen,basics
Grundlage,basis
Bass,bass
Bassist,bassist
Bad,bathroom
Badewanne,bathtub
Kampf,battle
sein,be
Strand,beach
Bär,bear
schlagen,beat
beatles,beatles
Beats,beats
schön,beautiful
schön,beautifully
Schönheit,beauty
wurde,became
weil,because
werden,become
wird,becomes
immer,becoming
Bett,bed
Biene,bee
Rindfleisch,beef
gewesen,been
Bier,beer
vor,before
begann,began
beginnen,begin
Anfang,begining
Anfänger,beginner
Anfänger,beginners
Anfang,beginning
Anfänge,beginnings
beginnt,begins
Verhalten,behavior
hinter,behind
hinterdenKulissen,behind-the-scenes
Wesen,being
Wesen,beings
Glaube,belief
Überzeugungen,beliefs
glaubwürdig,believable
glauben,believe
gehören,belong
gehört,belongs
Geliebte,beloved
unten,below
ben,ben
unter,beneath
Nutzen,benefit
benjamin,benjamin
gebogen,bent
berlin,berlin
Beere,berry
ansonsten,besides
bester,best
bet,bet
Verrat,betrayal
besser,better
zwischen,between
Vorsicht,beware
beyonce,beyonce
jenseits,beyond
Bias,bias
voreingenommen,biased
biblischen,biblical
groß,big
größer,bigger
größten,biggest
Rechnung,bill
billy,billy
bin,bin
Biographie,biography
Vogel,bird
Geburt,birth
Geburtstag,birthday
bisschen,bit
Biss,bite
bittersüß,bittersweet
bizarre,bizarre
schwarz,black
Schwarz-Weiß-,black-and-white
blah,blah
Schuld,blame
tadelt,blames
bland,bland
Explosion,blast
eklatanten,blatant
lodernden,blazing
bluten,bleed
Mischung,blend
Mischungen,blends
gesegnet,blessed
blies,blew
blind,blind
Glückseligkeit,bliss
Blasenbildung,blistering
Block,block
Blut,blood
Blüte,bloom
Schlag,blow
Blasen,blowing
geblasen,blown
Schläge,blows
blau,blue
Bluegrass,bluegrass
Blues,blues
verschwommen,blurry
Brett,board
Boot,boat
bob,bob
bobby,bobby
körperliche,bodily
Körper,body
Scheinselbständigkeit,bogus
fett,bold
Bombardierung,bombing
Anleihe,bond
Knochen,bone
Knochen,bones
Bonus,bonus
Buch,book
Broschüre,booklet
Bücher,books
Buchhandlung,bookstore
Boom,boom
Boot,boot
Bootleg,bootleg
Grenzen,borders
Bohrung,bore
gelangweilt,bored
Langeweile,boredom
langweilig,boring
geboren,born
leihen,borrow
beides,both
behelligen,bother
belästigt,bothered
Boden,bottom
gekauft,bought
Sprungkraft,bounce
gebunden,bound
Grenzen,boundaries
bounty,bounty
Bogen,bow
bowie,bowie
Feld,box
Junge,boy
Freund,boyfriend
Jungen,boys
brad,brad
Gehirn,brain
brainless,brainless
Gehirn,brains
bram,bram
Marke,brand
Messing,brass
bravo,bravo
brazilian,brazilian
Pause,break
Aufschlüsselung,breakdown
Brechen,breaking
Pausen,breaks
Durchbruch,breakthrough
Brüste,breasts
Atem,breath
atmen,breathe
atemberaubende,breathtaking
luftig,breezy
Gebräu,brew
brian,brian
Brücke,bridge
kurze,brief
hell,bright
Brillanz,brilliance
brilliant,brilliant
glänzend,brilliantly
bringen,bring
bringen,bringing
bringt,brings
brit,brit
britain,britain
british,british
breiteren,broader
broadway,broadway
Bäche,brooks
bros,bros
Bruder,brother
Brüder,brothers
gebracht,brought
braun,brown
bruce,bruce
brutal,brutal
btw,btw
Schampus,bubbly
Buck,buck
Böcke,bucks
Haushalt,budget
buff,buff
buffy,buffy
bauen,build
Gebäude,building
baut,builds
Masse,bulk
Kugeln,bullets
bumbling,bumbling
bummer,bummer
Beule,bump
Bund,bunch
brennen,burn
verbrannt,burned
Bus,bus
Busch,bush
Geschäft,business
Unternehmen,businesses
Büste,bust
aber,but
abgeschlachtet,butchered
Tonne,butt
Schaltfläche,button
kaufen,buy
Käufer,buyer
kaufen,buying
Heißdiskutiert,buzz
von,by
c,c
ca,ca
cab,cab
Kabine,cabin
rufen,call
genannt,called
Aufruf,calling
fordert,calls
Ruhe,calm
kam,came
Kamera,camera
cameron,cameron
Lager,camp
Campbell,campbell
Lagern,camps
können,can
Kanada,canada
canadian,canadian
abgebrochen,canceled
storniert,cancelled
Krebs,cancer
Kandidat,candidate
Kerze,candle
kannnicht,cannot
cant,cant
Lage,capable
Kapazität,capacity
Bann,captivated
fesselnd,captivating
Capture,capture
gefangen,captured
erfasst,captures
Auto,car
Karte,card
Pappe,cardboard
Cardio,cardio
sorgen,care
Karriere,career
vorsichtig,careful
sorgfältig,carefully
Sorgen,cares
carey,carey
Karikatur,caricature
Karikaturen,caricatures
Pflege,caring
carl,carl
Zimmermann,carpenter
Carrie,carrie
durchgeführt,carried
trägt,carries
tragen,carry
Fuhrmann,carter
Karikatur,cartoon
Fall,case
Cash,cash
Casino,casino
Kassette,cassette
Stimmen,cast
Gießen,casting
casual,casual
Katze,cat
fangen,catch
catchy,catchy
katholisch,catholic
Katzen,cats
gefangen,caught
Ursache,cause
Ursachen,causes
cd,cd
cds,cds
Feier,celebration
celebrity,celebrity
Zelluloid,celluloid
celtic,celtic
o,cent
Zentrum,center
zentriert,centered
Central/Neumühlequai,central
Cent,cents
Jahrhunderte,centuries
Jahrhundert,century
bestimmt,certain
sicher,certainly
Kette,chain
Kettensäge,chainsaw
Stuhl,chair
angefochten,challenged
Herausforderungen,challenges
Herausforderung,challenging
Meisterschaft,championship
Chance,chance
Chancen,chances
ändern,change
verändert,changed
Änderungen,changes
ändern,changing
Kanal,channel
chant,chant
Chaos,chaos
chaotisch,chaotic
Kapitel,chapter
Kapitel,chapters
Charakter,character
Charakterisierung,characterization
Zeichen,characters
Gebühr,charge
zahlen,charged
charles,charles
charlie,charlie
charlotte,charlotte
Charme,charm
charmante,charming
Charts,charts
Jagd,chase
billig,cheap
billiger,cheaper
betrogen,cheated
Betrug,cheating
prüfen,check
geprüft,checked
Kontrolle,checking
Käse,cheese
cheesy,cheesy
Köche,chefs
Chemie,chemistry
Kirsche,cherry
Chikago,chicago
chick,chick
Chef,chief
Kind,child
Kindheit,childhood
kindisch,childish
Kinder,children
chill,chill
Kühlen,chilling
Wahl,choice
Entscheidungen,choices
Chor,choir
wählen,choose
abgehackt,choppy
Koteletts,chops
Akkord,chord
lästigePflicht,chore
Choreographie,choreography
Chor,chorus
wählte,chose
gewählt,chosen
chris,chris
christ,christ
christian,christian
Christen,christians
christmas,christmas
chronische,chronic
Chronik,chronicle
chuck,chuck
Kirche,church
Kino,cinema
Kino,cinematic
Kinematographie,cinematography
Kreis,circle
Umstände,circumstances
Zirkus,circus
Städte,cities
Bürger,citizens
Stadt,city
Kultur,civilization
fordern,claim
behauptet,claimed
behauptet,claiming
Forderungen,claims
Klarheit,clarity
clark,clark
Clarkson,clarkson
Zusammenstoß,clash
Klasse,class
Klassen,classes
Klassiker,classic
klassischen,classical
Klassiker,classics
classy,classy
Ton,clay
sauber,clean
gereinigt,cleaned
klar,clear
klar,clearly
klug,clever
Klischee,cliche
klischeehaft,cliched
Klischees,cliches
Höhepunkt,climactic
Höhepunkt,climax
clinton,clinton
abgeschnitten,clipped
Clips,clips
Clooney,clooney
schließen,close
eng,closely
näher,closer
amnächsten,closest
Schrank,closet
Kleider,clothes
Clown,clown
Clowns,clowns
Club,club
Clubs,clubs
Hinweis,clue
clueless,clueless
Hinweise,clues
ungeschickt,clumsy
Krempel,clutter
Trainer,coach
Kohle,coal
Küste,coast
Code,code
cohen,cohen
kohärenten,coherent
Zusammenhalt,cohesive
kalt,cold
Zusammenarbeit,collaboration
sammeln,collect
Sammlung,collection
Sammlungen,collections
Sammler,collectors
College,college
Farbe,color
bunt,colorful
Farben,colors
Coltrane,coltrane
columbia,columbia
Kombination,combination
kombiniert,combined
verbindet,combines
Kombinationsfeld,combo
kommen,come
Komödien,comedies
Komödie,comedy
kommt,comes
Komfort,comfort
komfortable,comfortable
tröstlich,comforting
Comic,comic
kommenden,coming
Kommentar,comment
Kommentare,commentaries
Kommentar,commentary
kommentiert,commented
Kommentare,comments
Geschäfte,commercial
Werbespots,commercials
verpflichtet,committed
allgemein,common
allgemein,commonly
Kommunikation,communicate
Kommunikation,communication
kommunistischen,communist
Begleiter,companion
Firma,company
vergleichen,compare
Vergleich,compared
Vergleich,comparing
Vergleich,comparison
compassionate,compassionate
zwingenden,compelling
konkurrieren,compete
Zusammenstellung,compilation
Zusammenstellungen,compilations
klagen,complaining
beklagt,complains
Beschwerde,complaint
Beschwerden,complaints
ergänzen,complement
abgeschlossen,complete
abgeschlossen,completed
komplett,completely
Komplex,complex
Komponist,composer
Kompositionen,compositions
begreifen,comprehend
umfassende,comprehensive
Computer,computer
con,con
Konzept,concept
Konzepte,concepts
Belang,concern
betroffenen,concerned
über,concerning
Bedenken,concerns
Konzert,concert
Konzert,concerto
Konzerte,concerts
prägnant,concise
schließen,conclude
Abschluss,concluding
Abschluss,conclusion
Beton,concrete
herablassend,condescending
Zustand,condition
bekennen,confess
Konflikt,conflict
konfrontieren,confront
verwirrt,confused
verwirrend,confusing
Verbindung,connection
connery,connery
Nachteile,cons
Folgen,consequences
konservativ,conservative
prüfen,consider
erhebliche,considerable
als,considered
Prüfung,considering
Einklang,consistent
konsequent,consistently
besteht,consists
Konstante,constant
ständig,constantly
Verbraucher,consumers
Verbrauch,consumption
Kontakt,contact
enthalten,contain
enthalten,contained
enthält,contains
kontemplativen,contemplative
Zeitgenossen,contemporaries
zeitgenössische,contemporary
Inhalt,content
Inhalt,contents
Wettbewerb,contest
weiter,continue
weiter,continues
Vertrag,contract
widersprüchlich,contradictory
Kontrast,contrast
gekünstelt,contrived
Kontrolle,control
umstritten,controversial
Bequemlichkeit,convenience
bequem,convenient
konventionellen,conventional
Gespräch,conversation
Gespräche,conversations
vermittelt,conveyed
vermittelt,conveys
"davonüberzeugt,",convinced
überzeugend,convincing
überzeugend,convincingly
gewunden,convoluted
Kochbuch,cookbook
Kochbücher,cookbooks
Kochen,cooking
kühl,cool
Cooper,cooper
cop,cop
fertig,cope
kopiert,copied
Kopien,copies
Bewältigung,coping
kopieren,copy
Kern,core
Cornwell,cornwell
richtig,correct
korrekt,correctly
korrupt,corrupt
Korruption,corruption
Kosten,cost
Kosten,costs
Kostüm,costume
Kostüme,costumes
Kostüme,costuming
Couch,couch
könnte,could
couldnt,couldnt
count,count
Zählen,counting
Länder,countries
Land,country
zählt,counts
Paar,couple
Mut,courage
mutig,courageous
Kurs,course
Kurse,courses
mitfreundlicherGenehmigung,courtesy
Cousin,cousin
Cousins,cousins
Decke,cover
Abdeckung,coverage
für,covering
umfasst,covers
Kuh,cow
Cowboy,cowboy
crack,crack
geknackt,cracked
Handarbeit,crafted
craig,craig
Kurbel,crank
Mist,crap
crappy,crappy
verrückt,crazy
Sahne,cream
erstellen,create
erstellt,created
schafft,creates
Erstellen,creating
Schaffung,creation
kreative,creative
Kreativität,creativity
Schöpfer,creators
Kreatur,creature
Kreaturen,creatures
Glaubwürdigkeit,credibility
Kredit,credit
Credits,credits
Muskogee-Sprachen,creek
creepy,creepy
Belegschaft,crew
Crichton,crichton
Kriminalität,crime
Verbrechen,crimes
lunge,cringe
Krise,crisis
knusprig,crisp
Kriterium,criterion
Kritik,criticism
Kritiker,critics
Kritik,critique
Crosby,crosby
Kreuz,cross
Kreuzung,crossing
Crossover,crossover
Krähe,crow
Menge,crowd
crunk,crunk
gebrochen,crushed
weinen,cry
weinen,crying
Würfel,cube
kulinarische,culinary
Kult,cult
Kultur,cultural
Kultur,culture
Kulturen,cultures
Tasse,cup
Heilung,cure
neugierig,curious
aktuell,current
derzeit,currently
curtis,curtis
Kunde,customer
schneiden,cut
niedlich,cute
Kürzungen,cuts
Schneiden,cutting
zynisch,cynical
d,d
Papa,dad
täglich,daily
beschädigen,damaging
dame,dame
verdammen,damn
dan,dan
Tanz,dance
tanzbare,danceable
Tänze,dances
Tanz,dancing
gefährlich,dangerous
daniel,daniel
daniels,daniels
danny,danny
wagen,dare
Kühnheit,daring
dunkel,dark
dunkler,darker
dunkelsten,darkest
Liebling,darling
darn,darn
Datum,date
vom,dated
Tochter,daughter
Töchter,daughters
dave,dave
david,david
davis,davis
Tag,day
Tag,days
de,de
tot,dead
Handel,deal
Händler,dealers
Umgang,dealing
Angebote,deals
Dekan,dean
lieb,dear
Tod,death
Gestorben,deaths
Deaver,deaver
Deborah,deborah
Debüt,debut
Jahrzehnt,decade
Jahrzehnte,decades
Dezember,december
menschenwürdige,decent
entscheiden,decide
beschlossen,decided
entscheidet,decides
Entscheidung,decision
Engagement,dedication
Taten,deeds
tief,deep
tief,deeply
verteidigen,defend
Verteidigung,defense
definitiv,definately
define,define
definitiv,definetly
bestimmte,definite
definitiv,definitely
endgültigen,definitive
Grad,degree
gelöscht,deleted
absichtlich,deliberately
delicious,delicious
Freude,delight
freuen,delighted
entzückende,delightful
liefern,deliver
geliefert,delivered
liefert,delivering
liefert,delivers
Lieferung,delivery
Delta,delta
deluxe,deluxe
Demo,demo
demokratischen,democratic
Dämonen,demons
zeigt,demonstrates
deniro,deniro
leugnen,deny
denzel,denzel
hängen,depend
dargestellt,depicted
Darstellung,depicting
Darstellung,depiction
bedrückend,depressing
Depression,depression
Tiefe,depth
Tiefe,depths
derek,derek
Abstieg,descent
beschreiben,describe
beschrieben,described
beschreibt,describes
Beschreibung,describing
Beschreibung,description
Wüste,desert
verdienen,deserve
verdient,deserved
verdient,deserves
verdient,deserving
Design,design
Designs,designs
Wunsch,desire
gewünschte,desired
Schreibtisch,desk
Verzweiflung,despair
verzweifelt,desperate
trotz,despite
bestimmt,destined
Schicksal,destiny
Zerstörung,destruction
Detail,detail
detaillierte,detailed
Details,details
Detektiv,detective
Bestimmung,determination
entwickeln,develop
entwickelt,developed
Entwicklung,developing
Entwicklung,development
entwickelt,develops
Teufel,devil
frei,devoid
di,di
Dialog,dialog
Dialog,dialogue
Dialoge,dialogues
diana,diana
Tagebücher,diaries
Diatribe,diatribe
tat,did
diddy,diddy
sterben,die
die-hard,die-hard
gestorben,died
stirbt,dies
Unterschied,difference
verschiedenen,different
anders,differently
schwer,difficult
Schwierigkeiten,difficulties
dig,dig
digital,digital
Würde,dignity
Dimension,dimension
Dinosaurier,dinosaur
dire,dire
direkten,direct
Direct-to-Video,direct-to-video
Regie,directed
Regie,directing
Richtung,direction
Direktor,director
Direktoren,directors
Schmutz,dirt
schmutzig,dirty
Enttäuschung,disapointment
verschwindet,disappears
enttäuschen,disappoint
enttäuscht,disappointed
enttäuschend,disappointing
Enttäuschung,disappointment
Katastrophe,disaster
katastrophale,disastrous
CD,disc
Disco,disco
Diskographie,discography
Diskurs,discourse
entdecken,discover
entdeckt,discovered
Entdeckung,discovery
Discs,discs
diskutiert,discusses
Diskussion,discussing
Diskussion,discussion
Krankheit,disease
Schande,disgrace
Ekel,disgusted
ekelhaft,disgusting
unehrlich,dishonest
unaufrichtig,disingenuous
unzusammenhängend,disjointed
Festplatte,disk
Festplatten,disks
Abneigung,dislike
disney,disney
Anzeige,display
angezeigt,displayed
Displays,displays
enttäuscht,dissapointed
dissapointing,dissapointing
dissapointment,dissapointment
deutliche,distinct
verzerrt,distorted
Verzerrung,distortion
abgelenkt,distracted
ablenken,distracting
diverse,diverse
Vielfalt,diversity
geteilt,divided
dj,dj
tun,do
doc,doc
Arzt,doctor
Ärzte,doctors
Dokumentarfilm,documentary
Dokumente,documents
tut,does
Hund,dog
dogg,dogg
Hunde,dogs
Dabei,doing
Dollar,dollar
Dollar,dollars
Dolly,dolly
don,don
getan,done
donna,donna
dont,dont
doo,doo
Tür,door
Türen,doors
dope,dope
doris,doris
Doppel-,double
Zweifel,doubt
abwärts,down
Abfahrt,downhill
herunterladen,download
geradezu,downright
Abschreibungen,downs
dr,dr
eintönig,drab
ziehen,drag
gezogen,dragged
schleppt,drags
Drama,drama
Dramen,dramas
dramatischen,dramatic
dramatisch,dramatically
zeichnen,draw
gezogen,drawn
dre,dre
schrecklich,dreadful
Traum,dream
Träume,dreams
verträumte,dreamy
Kleid,dress
zog,drew
Trinkwasser,drinking
fahren,drive
Gefasel,drivel
getrieben,driven
Laufwerke,drives
Fahren,driving
Drohne,drone
Dröhnen,droning
Tropfen,drop
gesunken,dropped
dropping,dropping
Drogen,drug
Drogen,drugs
Trommel,drum
Schlagzeuger,drummer
drumming,drumming
Trommeln,drums
trocken,dry
Dual,dual
dub,dub
Überspielen,dubbing
dud,dud
Kumpel,dude
fällig,due
Duett,duet
Duette,duets
Herzog,duke
stumpf,dull
dumm,dumb
dump,dump
gedumpten,dumped
Duo,duo
während,during
Duvall,duvall
dvd,dvd
DVDs,dvds
dylan,dylan
Dynamik,dynamic
Dynamik,dynamics
z.B.,e.g
jeder,each
begierig,eager
eifrig,eagerly
Ohr,ear
Graf,earl
früher,earlier
frühesten,earliest
früh,early
verdienen,earn
Ohren,ears
Erde,earth
Leichtigkeit,ease
leichter,easier
leicht,easily
einfach,easy
gegessen,eaten
Essen,eating
echo,echo
eklektisch,eclectic
Wirtschaft,economic
ed,ed
eddie,eddie
Kante,edge
edgy,edgy
Bearbeiten,edit
edited,edited
Bearbeitung,editing
Auflage:,edition
Editor,editor
Bildungs-,educational
edward,edward
unheimliche,eerie
Wirkung,effect
wirksame,effective
effektiv,effectively
Auswirkungen,effects
Mühe,effort
mühelos,effortlessly
Bemühungen,efforts
Ich,ego
acht,eight
entweder,either
el,el
Wahl,election
Elektrisch,electric
elektronische,electronic
electronica,electronica
elegant,elegant
Element,element
Elementarteilchen,elementary
Elemente,elements
elf,eleven
beseitigen,eliminate
elizabeth,elizabeth
ella,ella
Ellington,ellington
sonst,else
anderswo,elsewhere
elton,elton
verlegen,embarassed
peinlich,embarrassing
Verlegenheit,embarrassment
Umarmung,embrace
emma,emma
emo,emo
Emotion,emotion
emotionale,emotional
emotional,emotionally
Emotionen,emotions
Schwerpunkt,emphasis
betonen,emphasize
Reich,empire
Arbeitnehmer,employed
Mitarbeiter,employees
leer,empty
en,en
Begegnungen,encounters
Ende,end
beendet,ended
Ende,ending
endlose,endless
endet,ends
Feinde,enemies
Feind,enemy
energische,energetic
Energie,energy
Engaging,engaging
Engineering,engineering
England,england
Englisch,english
erhöht,enhances
genießen,enjoy
Spaß,enjoyable
genossen,enjoyed
Genießen,enjoying
Genuss,enjoyment
genießt,enjoys
eno,eno
genug,enough
Ensemble,ensemble
GebenSie,enter
Eingabe,entering
Unternehmen,enterprise
Unterhaltung,entertain
Entertainer,entertainer
unterhaltsam,entertaining
Unterhaltung,entertainment
gesamten,entire
ganz,entirely
Teilen,entirety
ep,ep
Epos,epic
Epen,epics
Folge,episode
Episoden,episodes
equal,equal
gleich,equally
ER,er
era,era
eric,eric
Erotik,erotic
Fehler,error
Fehler,errors
Flucht,escape
vorallem,especially
Wesen,essence
wesentliche,essential
imWesentlichen,essentially
etc,etc
ewige,eternal
ethan,ethan
Europa,europe
european,european
eben,even
Abend,evening
Veranstaltung,event
Veranstaltungen,events
schließlich,eventually
jemals,ever
jeder,every
alle,everybody
Alltag,everyday
jeder,everyone
alles,everything
überall,everywhere
Beweise,evidence
böse,evil
evocative,evocative
Evolution,evolution
entwickelt,evolved
genau,exactly
Prüfung,examination
untersucht,examines
Prüfung,examining
Beispiel,example
Exzellenz,excellence
ausgezeichnet,excellent
Ausnahme,except
Ausnahme,exception
außergewöhnlichen,exceptional
aufgeregt,excited
Aufregung,excitement
spannend,exciting
ausschließlich,exclusively
Entschuldigung,excuse
ausgeführt,executed
Ausführung,execution
Exekutive,executive
Übung,exercise
Übungen,exercises
bestanden,existed
Existenz,existence
existentielle,existential
bestehenden,existing
existiert,exists
Ausfahrt,exit
exotische,exotic
Erweitern,expand
erweitert,expanded
erwarten,expect
Erwartungen,expectations
erwartet,expected
erwartet,expecting
teuer,expensive
Erfahrung,experience
experimental,experimental
Experimente,experiments
Experten,experts
erklären,explain
erklärt,explained
erklärt,explains
Erklärung,explanation
Ausbeutung,exploitation
erkunden,explore
erkundet,explores
erkunden,exploring
ausgesetzt,exposed
Exposition,exposure
Ausdruck,express
Ausdruck,expression
expressive,expressive
exquisite,exquisite
verlängert,extended
Umfang,extent
extra,extra
außerordentliche,extraordinary
Extras,extras
extreme,extreme
extrem,extremely
Auge,eye
Augen,eyes
fabelhafte,fabulous
Gesicht,face
konfrontiert,faced
Gesichter,faces
vor,facing
Tatsache,fact
Faktoren,factors
Fakten,facts
faktischen,factual
Fading,fading
scheitern,fail
gescheitert,failed
nicht,fails
Ausfall,failure
gerecht,fair
ziemlich,fairly
Glaube,faith
treu,faithful
Fälschung,fake
fallen,fall
fallen,falling
fällt,falls
false,false
Lüge,falsehood
Ruhm,fame
vertraut,familiar
Familie,family
berühmten,famous
Lüfter,fan
Fans,fans
phantastischen,fantastic
Phantasie,fantasy
weit,far
fart,fart
fasziniert,fascinated
faszinierende,fascinating
Faszination,fascination
Mode,fashion
fashioned,fashioned
schnell,fast
